,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14
0,0.000,0.841,0.871,0.885,0.884,0.864,0.880,0.893,0.880,0.879,0.907,0.874,0.877,0.891,0.906
1,0.841,0.000,0.878,0.884,0.885,0.891,0.878,0.804,0.884,0.891,0.907,0.874,0.884,0.891,0.892
2,0.871,0.878,0.000,0.866,0.879,0.896,0.891,0.888,0.898,0.883,0.894,0.877,0.897,0.901,0.911
3,0.885,0.884,0.866,0.000,0.889,0.889,0.884,0.892,0.884,0.891,0.895,0.875,0.887,0.882,0.897
4,0.884,0.885,0.879,0.889,0.000,0.876,0.850,0.891,0.867,0.880,0.904,0.866,0.889,0.898,0.895
5,0.864,0.891,0.896,0.889,0.876,0.000,0.887,0.883,0.885,0.863,0.911,0.882,0.886,0.890,0.905
6,0.880,0.878,0.891,0.884,0.850,0.887,0.000,0.873,0.881,0.888,0.914,0.884,0.901,0.905,0.904
7,0.893,0.804,0.888,0.892,0.891,0.883,0.873,0.000,0.886,0.867,0.902,0.881,0.899,0.889,0.896
8,0.880,0.884,0.898,0.884,0.867,0.885,0.881,0.886,0.000,0.858,0.896,0.899,0.891,0.890,0.918
9,0.879,0.891,0.883,0.891,0.880,0.863,0.888,0.867,0.858,0.000,0.908,0.854,0.885,0.899,0.907
10,0.907,0.907,0.894,0.895,0.904,0.911,0.914,0.902,0.896,0.908,0.000,0.904,0.908,0.906,0.899
11,0.874,0.874,0.877,0.875,0.866,0.882,0.884,0.881,0.899,0.854,0.904,0.000,0.892,0.843,0.905
12,0.877,0.884,0.897,0.887,0.889,0.886,0.901,0.899,0.891,0.885,0.908,0.892,0.000,0.882,0.912
13,0.891,0.891,0.901,0.882,0.898,0.890,0.905,0.889,0.890,0.899,0.906,0.843,0.882,0.000,0.903
14,0.906,0.892,0.911,0.897,0.895,0.905,0.904,0.896,0.918,0.907,0.899,0.905,0.912,0.903,0.000
