,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14
0,1.000,-0.281,0.411,0.074,0.163,-0.012,-0.208,0.123,-0.006,0.003,-0.104,0.261,-0.201,-0.156,-0.073
1,-0.281,1.000,-0.233,0.022,-0.136,-0.064,0.167,-0.635,0.175,0.351,0.002,-0.314,-0.108,-0.078,-0.185
2,0.411,-0.233,1.000,-0.028,0.265,-0.078,-0.221,0.117,0.060,-0.050,-0.208,0.046,-0.101,0.120,0.015
3,0.074,0.022,-0.028,1.000,-0.122,0.013,0.088,-0.029,-0.072,0.006,0.135,-0.110,0.027,0.081,0.139
4,0.163,-0.136,0.265,-0.122,1.000,-0.178,-0.352,0.034,-0.116,-0.026,-0.301,0.318,-0.244,-0.214,-0.094
5,-0.012,-0.064,-0.078,0.013,-0.178,1.000,0.227,0.153,0.079,-0.076,0.027,0.043,0.143,-0.073,-0.031
6,-0.208,0.167,-0.221,0.088,-0.352,0.227,1.000,-0.086,0.050,0.037,0.182,-0.272,0.292,0.194,-0.029
7,0.123,-0.635,0.117,-0.029,0.034,0.153,-0.086,1.000,-0.210,-0.163,0.025,0.243,0.184,0.080,0.220
8,-0.006,0.175,0.060,-0.072,-0.116,0.079,0.050,-0.210,1.000,-0.122,-0.208,-0.038,-0.091,0.165,-0.143
9,0.003,0.351,-0.050,0.006,-0.026,-0.076,0.037,-0.163,-0.122,1.000,-0.017,-0.172,-0.006,-0.179,-0.123
10,-0.104,0.002,-0.208,0.135,-0.301,0.027,0.182,0.025,-0.208,-0.017,1.000,-0.047,0.127,0.008,0.063
11,0.261,-0.314,0.046,-0.110,0.318,0.043,-0.272,0.243,-0.038,-0.172,-0.047,1.000,-0.119,-0.210,-0.153
12,-0.201,-0.108,-0.101,0.027,-0.244,0.143,0.292,0.184,-0.091,-0.006,0.127,-0.119,1.000,0.259,0.166
13,-0.156,-0.078,0.120,0.081,-0.214,-0.073,0.194,0.080,0.165,-0.179,0.008,-0.210,0.259,1.000,0.112
14,-0.073,-0.185,0.015,0.139,-0.094,-0.031,-0.029,0.220,-0.143,-0.123,0.063,-0.153,0.166,0.112,1.000
