,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14
0,0.000,0.090,0.074,0.103,0.090,0.102,0.088,0.096,0.099,0.092,0.073,0.089,0.081,0.087,0.070
1,0.090,0.000,0.085,0.098,0.086,0.103,0.091,0.053,0.093,0.079,0.073,0.080,0.088,0.091,0.067
2,0.074,0.085,0.000,0.099,0.070,0.091,0.080,0.085,0.089,0.084,0.065,0.084,0.078,0.075,0.063
3,0.103,0.098,0.099,0.000,0.096,0.098,0.093,0.091,0.094,0.092,0.070,0.093,0.083,0.089,0.068
4,0.090,0.086,0.070,0.096,0.000,0.085,0.069,0.086,0.087,0.088,0.063,0.076,0.075,0.075,0.073
5,0.102,0.103,0.091,0.098,0.085,0.000,0.088,0.096,0.097,0.096,0.073,0.092,0.087,0.092,0.068
6,0.088,0.091,0.080,0.093,0.069,0.088,0.000,0.093,0.092,0.090,0.067,0.080,0.074,0.080,0.067
7,0.096,0.053,0.085,0.091,0.086,0.096,0.093,0.000,0.090,0.090,0.071,0.081,0.080,0.087,0.061
8,0.099,0.093,0.089,0.094,0.087,0.097,0.092,0.090,0.000,0.090,0.066,0.091,0.087,0.083,0.066
9,0.092,0.079,0.084,0.092,0.088,0.096,0.090,0.090,0.090,0.000,0.070,0.089,0.082,0.084,0.064
10,0.073,0.073,0.065,0.070,0.063,0.073,0.067,0.071,0.066,0.070,0.000,0.071,0.064,0.064,0.056
11,0.089,0.080,0.084,0.093,0.076,0.092,0.080,0.081,0.091,0.089,0.071,0.000,0.079,0.082,0.065
12,0.081,0.088,0.078,0.083,0.075,0.087,0.074,0.080,0.087,0.082,0.064,0.079,0.000,0.070,0.057
13,0.087,0.091,0.075,0.089,0.075,0.092,0.080,0.087,0.083,0.084,0.064,0.082,0.070,0.000,0.065
14,0.070,0.067,0.063,0.068,0.073,0.068,0.067,0.061,0.066,0.064,0.056,0.065,0.057,0.065,0.000
