,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14
0,0.000,0.226,0.041,0.203,0.110,0.215,0.295,0.196,0.159,0.183,0.236,0.134,0.287,0.240,0.191
1,0.226,0.000,0.240,0.222,0.232,0.270,0.145,0.044,0.175,0.062,0.307,0.203,0.316,0.277,0.344
2,0.041,0.240,0.000,0.167,0.103,0.296,0.248,0.218,0.156,0.309,0.201,0.253,0.296,0.122,0.274
3,0.203,0.222,0.167,0.000,0.189,0.258,0.167,0.280,0.247,0.281,0.176,0.265,0.272,0.176,0.243
4,0.110,0.232,0.103,0.189,0.000,0.294,0.205,0.076,0.214,0.185,0.144,0.040,0.269,0.206,0.186
5,0.215,0.270,0.296,0.258,0.294,0.000,0.112,0.182,0.212,0.217,0.310,0.273,0.142,0.289,0.287
6,0.295,0.145,0.248,0.167,0.205,0.112,0.000,0.312,0.236,0.199,0.149,0.301,0.061,0.282,0.328
7,0.196,0.044,0.218,0.280,0.076,0.182,0.312,0.000,0.255,0.285,0.327,0.070,0.147,0.318,0.196
8,0.159,0.175,0.156,0.247,0.214,0.212,0.236,0.255,0.000,0.291,0.267,0.324,0.299,0.186,0.156
9,0.183,0.062,0.309,0.281,0.185,0.217,0.199,0.285,0.291,0.000,0.261,0.283,0.235,0.177,0.151
10,0.236,0.307,0.201,0.176,0.144,0.310,0.149,0.327,0.267,0.261,0.000,0.195,0.280,0.241,0.242
11,0.134,0.203,0.253,0.265,0.040,0.273,0.301,0.070,0.324,0.283,0.195,0.000,0.347,0.284,0.151
12,0.287,0.316,0.296,0.272,0.269,0.142,0.061,0.147,0.299,0.235,0.280,0.347,0.000,0.266,0.113
13,0.240,0.277,0.122,0.176,0.206,0.289,0.282,0.318,0.186,0.177,0.241,0.284,0.266,0.000,0.265
14,0.191,0.344,0.274,0.243,0.186,0.287,0.328,0.196,0.156,0.151,0.242,0.151,0.113,0.265,0.000
