,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14
0,0.000,0.998,0.998,0.998,0.998,0.998,0.998,0.998,0.998,0.998,0.998,0.998,0.998,0.998,0.997
1,0.998,0.000,0.998,0.998,0.998,0.998,0.998,0.998,0.998,0.998,0.998,0.998,0.998,0.998,0.998
2,0.998,0.998,0.000,0.998,0.998,0.998,0.998,0.998,0.998,0.998,0.997,0.998,0.998,0.998,0.997
3,0.998,0.998,0.998,0.000,0.998,0.998,0.998,0.998,0.998,0.998,0.998,0.998,0.998,0.998,0.997
4,0.998,0.998,0.998,0.998,0.000,0.998,0.998,0.998,0.998,0.998,0.997,0.998,0.998,0.998,0.998
5,0.998,0.998,0.998,0.998,0.998,0.000,0.998,0.998,0.998,0.998,0.998,0.998,0.998,0.998,0.998
6,0.998,0.998,0.998,0.998,0.998,0.998,0.000,0.998,0.998,0.998,0.998,0.998,0.998,0.998,0.998
7,0.998,0.998,0.998,0.998,0.998,0.998,0.998,0.000,0.998,0.998,0.998,0.998,0.998,0.998,0.998
8,0.998,0.998,0.998,0.998,0.998,0.998,0.998,0.998,0.000,0.998,0.998,0.998,0.998,0.998,0.997
9,0.998,0.998,0.998,0.998,0.998,0.998,0.998,0.998,0.998,0.000,0.998,0.998,0.998,0.998,0.998
10,0.998,0.998,0.997,0.998,0.997,0.998,0.998,0.998,0.998,0.998,0.000,0.998,0.998,0.997,0.997
11,0.998,0.998,0.998,0.998,0.998,0.998,0.998,0.998,0.998,0.998,0.998,0.000,0.998,0.998,0.998
12,0.998,0.998,0.998,0.998,0.998,0.998,0.998,0.998,0.998,0.998,0.998,0.998,0.000,0.998,0.997
13,0.998,0.998,0.998,0.998,0.998,0.998,0.998,0.998,0.998,0.998,0.997,0.998,0.998,0.000,0.998
14,0.997,0.998,0.997,0.997,0.998,0.998,0.998,0.998,0.997,0.998,0.997,0.998,0.997,0.998,0.000
