,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14
0,1.00,-0.38,0.45,-0.09,0.31,-0.12,-0.30,0.24,-0.14,-0.10,-0.04,0.29,-0.15,-0.13,-0.03
1,-0.38,1.00,-0.31,0.14,-0.37,0.11,0.39,-0.59,0.28,0.36,0.06,-0.41,0.07,0.05,-0.14
2,0.45,-0.31,1.00,-0.06,0.26,-0.09,-0.25,0.22,-0.04,-0.12,-0.14,0.11,-0.08,0.14,0.08
3,-0.09,0.14,-0.06,1.00,-0.21,0.06,0.17,-0.09,0.02,0.04,0.16,-0.14,0.12,0.17,0.12
4,0.31,-0.37,0.26,-0.21,1.00,-0.22,-0.41,0.28,-0.27,-0.16,-0.15,0.42,-0.21,-0.22,-0.02
5,-0.12,0.11,-0.09,0.06,-0.22,1.00,0.27,-0.02,0.18,-0.03,0.05,-0.06,0.13,-0.02,-0.05
6,-0.30,0.39,-0.25,0.17,-0.41,0.27,1.00,-0.26,0.17,0.23,0.11,-0.35,0.26,0.16,-0.08
7,0.24,-0.59,0.22,-0.09,0.28,-0.02,-0.26,1.00,-0.23,-0.17,-0.04,0.37,0.03,-0.04,0.19
8,-0.14,0.28,-0.04,0.02,-0.27,0.18,0.17,-0.23,1.00,-0.05,-0.12,-0.16,0.03,0.23,-0.11
9,-0.10,0.36,-0.12,0.04,-0.16,-0.03,0.23,-0.17,-0.05,1.00,0.04,-0.23,0.12,-0.06,-0.14
10,-0.04,0.06,-0.14,0.16,-0.15,0.05,0.11,-0.04,-0.12,0.04,1.00,0.05,0.09,-0.04,0.00
11,0.29,-0.41,0.11,-0.14,0.42,-0.06,-0.35,0.37,-0.16,-0.23,0.05,1.00,-0.12,-0.17,-0.09
12,-0.15,0.07,-0.08,0.12,-0.21,0.13,0.26,0.03,0.03,0.12,0.09,-0.12,1.00,0.19,0.12
13,-0.13,0.05,0.14,0.17,-0.22,-0.02,0.16,-0.04,0.23,-0.06,-0.04,-0.17,0.19,1.00,0.06
14,-0.03,-0.14,0.08,0.12,-0.02,-0.05,-0.08,0.19,-0.11,-0.14,0.00,-0.09,0.12,0.06,1.00
