,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14
0,1.00,-0.12,0.28,0.01,0.19,0.08,-0.01,0.16,0.06,0.08,0.05,0.17,0.01,-0.06,-0.05
1,-0.12,1.00,-0.08,0.10,-0.08,0.01,0.15,-0.38,0.19,0.24,0.01,-0.16,0.01,-0.06,-0.03
2,0.28,-0.08,1.00,0.06,0.17,0.03,-0.05,0.14,0.10,0.01,-0.01,0.07,0.01,0.18,0.03
3,0.01,0.10,0.06,1.00,-0.00,0.05,0.13,0.04,0.02,0.05,0.14,0.03,0.07,0.14,0.05
4,0.19,-0.08,0.17,-0.00,1.00,-0.02,-0.10,0.24,-0.05,0.06,-0.06,0.30,-0.02,-0.08,-0.00
5,0.08,0.01,0.03,0.05,-0.02,1.00,0.17,0.11,0.13,0.03,0.05,0.09,0.14,-0.03,-0.04
6,-0.01,0.15,-0.05,0.13,-0.10,0.17,1.00,0.01,0.11,0.15,0.08,-0.06,0.20,0.06,-0.03
7,0.16,-0.38,0.14,0.04,0.24,0.11,0.01,1.00,-0.12,-0.01,-0.02,0.27,0.14,0.05,0.15
8,0.06,0.19,0.10,0.02,-0.05,0.13,0.11,-0.12,1.00,-0.02,-0.04,0.01,0.04,0.15,-0.11
9,0.08,0.24,0.01,0.05,0.06,0.03,0.15,-0.01,-0.02,1.00,0.02,-0.04,0.12,-0.07,-0.10
10,0.05,0.01,-0.01,0.14,-0.06,0.05,0.08,-0.02,-0.04,0.02,1.00,0.17,-0.00,0.07,-0.03
11,0.17,-0.16,0.07,0.03,0.30,0.09,-0.06,0.27,0.01,-0.04,0.17,1.00,0.01,0.04,-0.11
12,0.01,0.01,0.01,0.07,-0.02,0.14,0.20,0.14,0.04,0.12,-0.00,0.01,1.00,0.08,0.13
13,-0.06,-0.06,0.18,0.14,-0.08,-0.03,0.06,0.05,0.15,-0.07,0.07,0.04,0.08,1.00,0.04
14,-0.05,-0.03,0.03,0.05,-0.00,-0.04,-0.03,0.15,-0.11,-0.10,-0.03,-0.11,0.13,0.04,1.00
