,0,1,2
0,0.44,0.47,0.09
1,0.55,0.38,0.07
2,0.75,0.25,
3,0.55,0.28,0.17
4,0.84,0.09,0.07
5,0.52,0.17,0.31
6,0.20,0.41,0.39
7,0.83,0.16,0.00
8,0.91,0.06,0.03
9,0.49,0.49,0.02
10,1.00,,
11,0.85,0.15,
12,0.12,0.87,0.01
13,0.94,0.06,
14,0.11,0.79,0.10
15,0.94,0.03,0.03
16,0.14,0.26,0.59
17,0.71,0.26,0.03
18,0.45,0.49,0.06
19,1.00,,
20,0.30,0.70,0.00
21,0.43,0.52,0.06
22,0.96,0.04,
23,0.16,0.36,0.47
24,0.30,0.10,0.60
25,0.44,0.40,0.16
26,0.20,0.22,0.57
27,0.62,0.27,0.11
28,0.25,0.51,0.24
29,1.00,,
30,0.17,0.76,0.07
31,0.13,0.08,0.78
32,0.19,0.78,0.04
33,0.16,0.53,0.30
34,0.14,0.25,0.61
35,1.00,,
36,0.11,0.37,0.53
37,0.57,0.30,0.13
38,0.57,0.28,0.15
39,0.68,0.32,
40,1.00,,
41,0.93,0.07,
42,0.34,0.22,0.44
43,1.00,,
44,0.34,0.10,0.56
45,0.99,0.01,
46,0.28,0.70,0.02
47,0.36,0.61,0.03
48,0.81,0.04,0.15
49,0.54,0.34,0.12
50,0.25,0.28,0.46
51,0.14,0.40,0.46
52,0.96,0.04,
53,0.58,0.27,0.15
54,0.56,0.44,
55,0.55,0.46,
56,0.18,0.58,0.24
57,0.43,0.49,0.08
58,0.94,0.06,
59,0.83,0.17,
60,0.21,0.44,0.35
61,0.37,0.11,0.52
62,0.96,0.04,
63,0.99,0.01,
64,0.74,0.24,0.02
65,0.33,0.43,0.24
66,1.00,,
67,0.35,0.62,0.04
68,0.19,0.57,0.24
69,0.82,0.18,
70,0.04,0.61,0.35
71,0.14,0.86,
72,0.53,0.47,0.00
73,0.61,0.38,0.01
74,0.36,0.30,0.35
75,0.55,0.23,0.23
76,0.26,0.74,
77,0.42,0.12,0.46
78,0.38,0.30,0.32
79,0.85,0.03,0.12
80,0.15,0.52,0.33
81,0.35,0.45,0.20
82,0.46,0.14,0.39
83,0.34,0.51,0.16
84,1.00,0.00,
85,0.99,0.01,
86,0.14,0.86,
87,0.23,0.77,
88,0.59,0.28,0.13
89,0.39,0.08,0.53
90,0.85,0.15,
91,0.14,0.24,0.62
92,0.53,0.33,0.15
93,0.38,0.45,0.17
94,0.99,0.01,
95,1.00,,
96,0.20,0.50,0.29
97,0.23,0.54,0.23
98,0.51,0.40,0.09
99,0.84,0.16,
100,0.08,0.92,0.00
101,0.93,0.07,
102,0.94,0.06,
103,0.34,0.56,0.10
104,0.48,0.25,0.27
105,1.00,,
106,0.32,0.66,0.03
107,0.38,0.55,0.07
108,0.06,0.40,0.54
109,0.47,0.44,0.09
110,0.16,0.17,0.67
111,0.44,0.16,0.40
112,1.00,,
113,0.09,0.72,0.19
114,0.57,0.01,0.42
115,0.48,0.08,0.44
116,0.24,0.44,0.32
117,0.59,0.23,0.18
118,0.40,0.39,0.21
119,0.81,0.00,0.18
120,0.08,0.64,0.28
121,0.20,0.59,0.21
122,0.99,0.01,
123,0.68,0.13,0.19
124,0.24,0.53,0.23
125,0.56,0.27,0.18
126,0.53,0.47,
127,0.44,0.44,0.12
128,0.59,0.41,
129,0.53,0.20,0.27
130,1.00,,
131,0.57,0.36,0.07
132,0.66,0.08,0.27
133,0.29,0.29,0.41
134,0.14,0.01,0.85
135,0.99,0.01,
136,0.48,0.19,0.33
137,0.04,0.66,0.30
138,0.87,0.13,
139,0.88,0.12,
140,0.85,0.11,0.05
141,0.72,0.28,
142,0.51,0.49,0.01
143,0.18,0.79,0.03
144,0.55,0.44,0.01
145,0.68,0.21,0.11
146,0.58,0.32,0.11
147,0.93,0.01,0.06
148,0.45,0.53,0.01
149,0.39,0.48,0.13
150,0.63,0.33,0.04
151,0.08,0.20,0.72
152,0.19,0.15,0.66
153,0.53,0.44,0.03
154,0.37,0.60,0.03
155,0.62,0.21,0.17
156,0.89,0.07,0.04
157,0.33,0.30,0.37
158,0.18,0.81,0.01
159,0.86,0.05,0.09
160,0.28,0.18,0.54
161,0.61,0.39,
162,1.00,,
163,0.45,0.41,0.14
164,0.91,0.10,
165,0.47,0.51,0.02
166,1.00,,
167,0.97,0.03,
168,0.20,0.54,0.26
169,0.99,0.01,
170,0.08,0.84,0.07
171,0.19,0.25,0.56
172,0.81,0.19,
173,0.34,0.48,0.18
174,0.89,0.07,0.04
175,0.51,0.49,
176,0.68,0.11,0.21
177,0.34,0.65,0.02
178,0.68,0.11,0.20
179,0.84,0.10,0.07
180,0.95,0.05,
181,0.90,0.07,0.03
182,0.74,0.26,
183,0.43,0.48,0.09
184,0.75,0.04,0.21
185,0.26,0.71,0.02
186,0.17,0.08,0.75
187,0.32,0.68,
188,0.98,0.01,0.01
189,0.04,0.95,
190,0.32,0.50,0.18
191,0.46,0.54,
192,0.10,0.52,0.38
193,0.12,0.57,0.32
