,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14
0,1.00,-0.12,0.55,0.10,0.38,0.00,-0.33,-0.13,0.36,0.12,-0.41,0.38,-0.39,-0.24,-0.36
1,-0.12,1.00,-0.14,-0.04,-0.02,0.02,0.13,-0.53,0.08,0.35,0.03,-0.11,-0.09,-0.10,-0.20
2,0.55,-0.14,1.00,0.18,0.46,-0.15,-0.38,-0.11,0.39,0.03,-0.55,0.19,-0.32,0.04,-0.16
3,0.10,-0.04,0.18,1.00,-0.16,0.02,0.07,-0.05,0.04,-0.12,0.02,-0.15,0.02,0.15,0.20
4,0.38,-0.02,0.46,-0.16,1.00,-0.11,-0.48,-0.15,0.31,0.29,-0.71,0.50,-0.41,-0.42,-0.42
5,0.00,0.02,-0.15,0.02,-0.11,1.00,0.25,0.13,0.05,0.08,0.01,0.05,0.11,-0.11,-0.03
6,-0.33,0.13,-0.38,0.07,-0.48,0.25,1.00,0.08,-0.20,-0.05,0.41,-0.32,0.43,0.25,0.16
7,-0.13,-0.53,-0.11,-0.05,-0.15,0.13,0.08,1.00,-0.20,-0.18,0.11,-0.03,0.29,0.16,0.31
8,0.36,0.08,0.39,0.04,0.31,0.05,-0.20,-0.20,1.00,0.09,-0.44,0.13,-0.30,-0.01,-0.28
9,0.12,0.35,0.03,-0.12,0.29,0.08,-0.05,-0.18,0.09,1.00,-0.27,0.08,-0.21,-0.36,-0.31
10,-0.41,0.03,-0.55,0.02,-0.71,0.01,0.41,0.11,-0.44,-0.27,1.00,-0.32,0.36,0.26,0.30
11,0.38,-0.11,0.19,-0.15,0.50,0.05,-0.32,-0.03,0.13,0.08,-0.32,1.00,-0.25,-0.34,-0.40
12,-0.39,-0.09,-0.32,0.02,-0.41,0.11,0.43,0.29,-0.30,-0.21,0.36,-0.25,1.00,0.32,0.34
13,-0.24,-0.10,0.04,0.15,-0.42,-0.11,0.25,0.16,-0.01,-0.36,0.26,-0.34,0.32,1.00,0.32
14,-0.36,-0.20,-0.16,0.20,-0.42,-0.03,0.16,0.31,-0.28,-0.31,0.30,-0.40,0.34,0.32,1.00
