,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14
0,1.00,-0.37,0.50,-0.19,0.35,-0.09,-0.33,0.19,-0.03,-0.04,-0.24,0.35,-0.27,-0.18,-0.19
1,-0.37,1.00,-0.29,0.13,-0.21,0.00,0.24,-0.62,0.16,0.31,0.12,-0.34,0.02,-0.01,-0.09
2,0.50,-0.29,1.00,-0.19,0.35,-0.10,-0.29,0.16,0.06,-0.08,-0.38,0.14,-0.21,0.09,-0.05
3,-0.19,0.13,-0.19,1.00,-0.43,0.05,0.25,-0.07,-0.04,-0.01,0.30,-0.31,0.19,0.22,0.31
4,0.35,-0.21,0.35,-0.43,1.00,-0.19,-0.46,0.05,-0.13,-0.04,-0.48,0.53,-0.36,-0.38,-0.36
5,-0.09,0.00,-0.10,0.05,-0.19,1.00,0.25,0.13,0.13,-0.06,0.05,-0.02,0.16,-0.04,0.02
6,-0.33,0.24,-0.29,0.25,-0.46,0.25,1.00,-0.13,0.08,0.08,0.29,-0.39,0.38,0.26,0.10
7,0.19,-0.62,0.16,-0.07,0.05,0.13,-0.13,1.00,-0.16,-0.11,-0.07,0.24,0.10,0.06,0.18
8,-0.03,0.16,0.06,-0.04,-0.13,0.13,0.08,-0.16,1.00,-0.13,-0.16,-0.06,-0.06,0.21,-0.06
9,-0.04,0.31,-0.08,-0.01,-0.04,-0.06,0.08,-0.11,-0.13,1.00,-0.01,-0.17,0.05,-0.14,-0.08
10,-0.24,0.12,-0.38,0.30,-0.48,0.05,0.29,-0.07,-0.16,-0.01,1.00,-0.21,0.24,0.08,0.15
11,0.35,-0.34,0.14,-0.31,0.53,-0.02,-0.39,0.24,-0.06,-0.17,-0.21,1.00,-0.24,-0.32,-0.31
12,-0.27,0.02,-0.21,0.19,-0.36,0.16,0.38,0.10,-0.06,0.05,0.24,-0.24,1.00,0.27,0.22
13,-0.18,-0.01,0.09,0.22,-0.38,-0.04,0.26,0.06,0.21,-0.14,0.08,-0.32,0.27,1.00,0.22
14,-0.19,-0.09,-0.05,0.31,-0.36,0.02,0.10,0.18,-0.06,-0.08,0.15,-0.31,0.22,0.22,1.00
