,0,1,2
0,1.00,,
1,0.98,0.01,
2,1.00,,
3,1.00,,
4,1.00,,
5,1.00,,
6,1.00,,
7,1.00,,
8,1.00,,
9,1.00,,
10,1.00,,
11,1.00,,
12,1.00,,
13,1.00,,
14,1.00,,
15,1.00,,
16,1.00,,
17,0.87,0.13,
18,1.00,,
19,1.00,,
20,1.00,,
21,0.61,0.39,
22,1.00,,
23,1.00,,
24,1.00,,
25,0.95,0.05,
26,1.00,,
27,1.00,,
28,0.94,0.02,0.04
29,1.00,,
30,0.98,0.02,
31,0.99,0.01,
32,1.00,,
33,0.83,0.17,
34,1.00,,
35,1.00,,
36,1.00,,
37,1.00,,
38,0.82,0.18,
39,1.00,,
40,1.00,,
41,1.00,,
42,1.00,,
43,1.00,,
44,1.00,,
45,1.00,,
46,0.96,0.04,
47,1.00,,
48,1.00,,
49,1.00,,
50,1.00,,
51,1.00,,
52,1.00,,
53,1.00,,
54,1.00,0.00,
55,1.00,,
56,1.00,0.00,
57,0.99,0.01,0.00
58,1.00,,
59,1.00,,
60,1.00,0.00,
61,1.00,,
62,1.00,,
63,1.00,,
64,1.00,,
65,1.00,,
66,1.00,,
67,1.00,,
68,0.98,0.02,
69,1.00,,
70,0.97,0.03,
71,1.00,,
72,1.00,,
73,0.78,0.22,
74,1.00,,
75,1.00,,
76,1.00,,
77,1.00,0.00,
78,1.00,,
79,1.00,,
80,1.00,,
81,1.00,,
82,0.92,0.08,
83,0.63,0.25,0.12
84,1.00,,
85,1.00,,
86,0.73,0.27,
87,1.00,,
88,1.00,,
89,0.99,0.01,
90,1.00,,
91,1.00,,
92,1.00,,
93,1.00,,
94,0.94,0.06,
95,1.00,,
96,1.00,,
97,1.00,,
98,1.00,,
99,0.98,0.02,
100,1.00,,
101,1.00,,
102,0.99,0.01,
103,1.00,,
104,1.00,,
105,0.96,0.04,
106,0.99,0.01,
107,1.00,,
108,1.00,,
109,1.00,,
110,1.00,,
111,0.92,0.01,0.07
112,1.00,,
113,0.97,0.03,
114,1.00,,
115,1.00,,
116,0.74,0.26,
117,1.00,,
118,1.00,,
119,1.00,,
120,0.97,0.03,
121,1.00,,
122,1.00,,
123,1.00,,
124,1.00,,
125,1.00,,
126,1.00,,
127,1.00,,
128,1.00,,
129,0.92,0.09,
130,1.00,,
131,1.00,,
132,0.99,0.01,
133,1.00,0.00,
134,1.00,,
135,1.00,,
136,1.00,,
137,1.00,,
138,1.00,,
139,1.00,,
140,1.00,,
141,1.00,,
142,0.91,0.09,
143,1.00,0.00,
144,1.00,,
145,1.00,,
146,1.00,,
147,1.00,,
148,1.00,,
149,1.00,,
150,1.00,,
151,1.00,0.00,
152,0.88,0.12,
153,1.00,,
154,1.00,,
155,1.00,,
156,1.00,,
157,1.00,,
158,1.00,,
159,1.00,,
160,1.00,,
161,1.00,0.00,
162,1.00,,
163,1.00,,
164,1.00,0.00,
165,1.00,,
166,1.00,,
167,1.00,,
168,1.00,,
169,1.00,,
170,1.00,,
171,1.00,,
172,1.00,,
173,0.67,0.33,
174,0.90,0.10,
175,1.00,,
176,1.00,0.00,
177,1.00,,
178,0.98,0.02,
179,1.00,,
180,1.00,,
181,0.99,0.01,
182,1.00,,
183,0.99,0.01,
184,1.00,,
185,0.75,0.25,
186,1.00,,
187,1.00,0.00,
188,1.00,,
189,1.00,,
190,1.00,,
191,1.00,0.00,
192,1.00,,
193,1.00,,
194,0.58,0.42,
195,1.00,,
196,1.00,,
197,1.00,,
198,1.00,,
