,0,1,2
0,0.52,0.01,0.48
1,0.59,0.37,0.04
2,1.00,,
3,0.97,0.03,
4,0.58,0.42,
5,0.55,0.45,
6,0.29,0.26,0.45
7,0.16,0.73,0.11
8,0.26,0.68,0.06
9,1.00,,
10,1.00,,
11,1.00,,
12,0.38,0.07,0.55
13,0.92,0.08,
14,1.00,,
15,1.00,,
16,0.20,0.45,0.35
17,0.45,0.55,
18,0.25,0.67,0.08
19,1.00,,
20,0.64,0.16,0.19
21,0.47,0.53,
22,1.00,,
23,0.54,0.41,0.05
24,0.99,0.01,
25,0.47,0.21,0.32
26,0.53,0.20,0.26
27,1.00,,
28,0.67,0.07,0.25
29,0.78,0.21,0.01
30,0.61,0.39,
31,0.42,0.37,0.21
32,0.42,0.26,0.32
33,0.82,0.01,0.17
34,0.04,0.88,0.08
35,1.00,,
36,0.16,0.84,
37,0.26,0.65,0.09
38,0.05,0.55,0.40
39,1.00,,
40,1.00,,
41,1.00,,
42,0.27,0.53,0.20
43,1.00,,
44,0.95,0.05,
45,0.57,0.41,0.02
46,0.39,0.61,
47,0.18,0.66,0.16
48,0.90,0.10,
49,0.94,0.06,
50,0.86,0.14,
51,0.15,0.16,0.69
52,0.76,0.24,
53,0.19,0.38,0.42
54,0.78,0.17,0.06
55,1.00,,
56,0.01,0.44,0.55
57,0.73,0.27,
58,1.00,,
59,0.83,0.17,
60,0.63,0.28,0.09
61,0.49,0.09,0.42
62,0.83,0.17,
63,1.00,,
64,0.79,0.21,
65,0.36,0.64,
66,1.00,,
67,0.94,0.06,
68,0.64,0.31,0.06
69,1.00,,
70,0.53,0.47,
71,0.71,0.29,
72,0.99,0.01,
73,0.61,0.39,
74,0.40,0.56,0.05
75,1.00,,
76,0.85,0.15,
77,0.61,0.20,0.19
78,0.96,0.04,
79,0.43,0.52,0.05
80,0.82,0.18,
81,0.22,0.34,0.44
82,0.63,0.13,0.24
83,0.55,0.27,0.18
84,1.00,,
85,1.00,,
86,0.46,0.54,
87,0.98,0.02,
88,0.04,0.03,0.93
89,0.82,0.17,0.02
90,0.83,0.17,
91,1.00,,
92,0.87,0.07,0.05
93,0.19,0.56,0.25
94,0.49,0.51,
95,0.21,0.58,0.20
96,0.22,0.26,0.52
97,0.70,0.06,0.24
98,0.39,0.31,0.31
99,0.53,0.47,
100,0.15,0.03,0.81
101,1.00,,
102,0.38,0.44,0.18
103,0.19,0.81,
104,0.96,0.04,
105,0.71,0.18,0.11
106,0.45,0.10,0.46
107,0.99,0.01,
108,0.99,0.01,
109,0.82,0.03,0.15
110,0.80,0.15,0.05
111,0.35,0.13,0.53
112,0.79,0.21,
113,0.53,0.43,0.04
114,0.82,0.18,
115,0.73,0.09,0.18
116,0.41,0.59,
117,0.69,0.24,0.06
118,0.16,0.18,0.66
119,0.61,0.37,0.02
120,0.52,0.17,0.32
121,0.53,0.21,0.26
122,0.62,0.37,0.00
123,0.13,0.07,0.80
124,1.00,,
125,1.00,,
126,0.53,0.40,0.07
127,0.23,0.60,0.17
128,0.99,0.01,
129,0.52,0.09,0.40
130,1.00,,
131,0.99,0.01,
132,0.45,0.15,0.40
133,0.25,0.33,0.41
134,0.85,0.14,0.00
135,0.97,0.03,
136,0.41,0.39,0.20
137,0.37,0.15,0.48
138,0.95,0.05,
139,0.99,0.01,
140,1.00,0.00,
141,1.00,,
142,0.79,0.20,0.00
143,0.27,0.44,0.29
144,0.50,0.43,0.07
145,0.23,0.23,0.54
146,0.90,0.10,
147,0.10,0.20,0.70
148,0.22,0.50,0.28
149,0.78,0.22,
150,1.00,,
151,0.04,0.30,0.66
152,0.62,0.38,
153,0.77,0.19,0.04
154,0.37,0.63,
155,0.66,0.34,
156,0.75,0.22,0.03
157,0.09,0.91,
158,0.91,0.09,
159,0.52,0.44,0.04
160,0.45,0.31,0.24
161,0.46,0.54,
162,0.98,0.02,
163,0.98,0.02,
164,0.98,0.02,
165,0.33,0.28,0.40
166,0.96,0.04,
167,1.00,,
168,0.81,0.19,
169,1.00,,
170,0.68,0.23,0.10
171,1.00,,
172,0.24,0.74,0.01
173,0.40,0.60,
174,0.64,0.31,0.05
175,0.50,0.50,
176,1.00,,
177,0.85,0.15,
178,0.62,0.35,0.03
179,0.12,0.49,0.39
180,0.40,0.50,0.09
181,0.53,0.35,0.12
182,0.63,0.37,
183,0.16,0.29,0.56
184,0.70,0.30,
185,0.59,0.41,
186,0.50,0.47,0.03
187,0.88,0.12,
188,1.00,0.00,
189,1.00,,
190,0.99,0.01,
191,0.64,0.36,
192,0.17,0.42,0.42
193,0.53,0.47,
194,0.81,0.19,
195,1.00,,
196,0.96,0.04,
197,0.39,0.61,
198,1.00,,
199,1.00,0.00,
200,0.98,0.01,
201,0.54,0.44,0.02
202,0.70,0.12,0.18
203,0.35,0.01,0.64
204,0.34,0.34,0.32
205,0.40,0.17,0.43
206,0.28,0.67,0.06
207,1.00,,
208,0.53,0.34,0.13
209,1.00,,
210,0.20,0.52,0.28
211,0.62,0.36,0.01
212,1.00,,
213,1.00,,
214,0.99,0.01,
215,0.44,0.27,0.29
216,0.99,0.01,
217,0.47,0.27,0.26
218,0.65,0.35,
219,0.81,0.19,
220,0.97,0.03,
221,0.00,1.00,
222,0.02,0.40,0.58
223,0.12,0.47,0.42
224,0.88,0.12,
225,0.04,0.96,
226,0.58,0.07,0.35
227,1.00,,
228,0.46,0.15,0.39
229,0.03,0.97,
230,1.00,,
231,0.33,0.41,0.26
232,0.67,0.18,0.15
233,0.30,0.24,0.46
234,0.62,0.30,0.08
235,1.00,,
236,1.00,,
237,0.91,0.09,
238,1.00,,
239,1.00,,
240,0.46,0.54,
241,1.00,,
242,1.00,,
243,0.18,0.72,0.10
244,0.32,0.66,0.02
245,0.98,0.01,
246,0.46,0.22,0.33
247,0.55,0.45,
248,1.00,,
249,0.90,0.10,
250,0.94,0.06,
251,0.72,0.28,
252,0.00,0.34,0.65
253,0.32,0.68,
254,0.33,0.62,0.05
255,1.00,,
256,0.73,0.27,0.00
257,0.42,0.58,
258,0.94,0.01,0.05
259,0.52,0.35,0.13
260,0.23,0.76,0.01
261,0.14,0.59,0.27
262,1.00,,
263,0.21,0.54,0.24
264,0.50,0.50,
265,1.00,,
266,0.88,0.12,
267,1.00,,
268,0.17,0.39,0.45
269,0.93,0.07,
270,1.00,,
271,0.50,0.49,0.01
272,0.95,0.05,
273,0.93,0.07,
274,0.72,0.28,
275,1.00,,
276,0.20,0.59,0.21
277,0.75,0.11,0.14
278,0.35,0.48,0.16
279,0.50,0.50,
280,0.95,0.05,
281,0.37,0.18,0.45
282,0.71,0.29,
283,0.21,0.41,0.37
284,0.59,0.10,0.31
285,0.93,0.07,
286,1.00,,
287,0.21,0.76,0.03
288,0.82,0.18,
289,0.71,0.29,
290,0.85,0.15,
291,0.51,0.49,
292,0.68,0.32,
293,0.30,0.68,0.02
294,0.60,0.33,0.07
295,0.71,0.17,0.11
296,0.19,0.53,0.28
297,0.82,0.14,0.03
298,0.43,0.14,0.43
299,0.04,0.37,0.59
300,1.00,,
301,1.00,,
302,0.18,0.47,0.35
303,1.00,,
304,0.74,0.26,
305,0.75,0.25,
306,0.47,0.36,0.17
307,0.44,0.04,0.52
308,0.03,0.97,
309,0.20,0.56,0.24
310,0.24,0.17,0.59
311,0.81,0.19,
312,0.13,0.59,0.28
313,0.87,0.13,
314,0.60,0.17,0.22
315,0.74,0.12,0.14
316,0.23,0.40,0.38
317,0.53,0.30,0.17
318,0.92,0.08,
319,0.40,0.39,0.21
320,1.00,,
321,0.01,0.98,
322,0.30,0.63,0.07
323,0.58,0.06,0.36
324,0.37,0.26,0.37
325,1.00,,
326,0.90,0.10,
327,0.59,0.41,
328,1.00,,
329,0.87,0.13,
330,1.00,,
331,0.15,0.28,0.56
332,0.86,0.14,
333,0.48,0.30,0.23
334,0.90,0.10,
335,0.70,0.24,0.06
336,1.00,,
337,1.00,,
338,0.95,0.05,
339,1.00,,
340,0.01,0.07,0.92
341,1.00,,
342,1.00,,
343,0.28,0.58,0.13
344,0.65,0.13,0.22
345,0.90,0.08,0.02
346,0.71,0.08,0.21
347,0.37,0.42,0.21
348,0.46,0.03,0.51
349,0.12,0.26,0.62
350,0.99,0.01,
351,1.00,,
352,0.71,0.28,
353,1.00,,
354,0.18,0.82,
355,0.33,0.67,0.00
356,0.28,0.72,0.00
357,1.00,,
358,1.00,,
359,0.21,0.72,0.07
360,1.00,,
361,0.60,0.33,0.07
362,0.81,0.19,
363,0.93,0.07,
364,0.74,0.26,0.00
365,0.37,0.29,0.34
366,1.00,,
367,0.62,0.17,0.21
368,0.29,0.49,0.22
369,0.33,0.46,0.21
370,0.97,0.03,
371,0.67,0.12,0.21
372,1.00,,
373,0.59,0.13,0.28
374,0.06,0.50,0.44
375,0.85,0.15,
376,0.75,0.25,
377,0.71,0.29,0.00
378,1.00,,
379,0.99,0.01,
380,0.09,0.75,0.16
381,0.79,0.21,
382,1.00,,
383,1.00,,
384,1.00,,
385,0.13,0.87,
386,0.16,0.55,0.30
387,0.97,0.03,
388,0.78,0.22,
389,0.17,0.03,0.80
390,0.73,0.17,0.10
391,0.33,0.37,0.30
392,0.40,0.56,0.04
393,0.50,0.50,
394,1.00,,
395,0.55,0.45,
396,0.84,0.15,0.01
397,0.89,0.11,
398,0.87,0.13,
399,0.30,0.46,0.24
400,0.88,0.12,
401,0.73,0.21,0.06
402,0.22,0.78,
403,1.00,,
404,0.60,0.40,
405,0.15,0.69,0.16
406,0.08,0.49,0.43
407,0.58,0.25,0.17
408,0.45,0.55,
409,0.84,0.16,
410,0.88,0.10,0.02
411,0.98,0.02,
412,0.49,0.24,0.27
413,1.00,,
414,0.85,0.15,
415,1.00,,
416,0.56,0.44,
417,0.80,0.20,
418,1.00,,
419,0.26,0.34,0.40
420,0.89,0.11,
421,0.94,0.06,
422,0.21,0.79,
423,1.00,,
424,0.60,0.40,
425,0.97,0.03,
426,0.87,0.03,0.09
427,0.51,0.01,0.48
428,0.87,0.13,
429,0.70,0.30,
430,0.08,0.47,0.46
431,0.31,0.32,0.38
432,0.42,0.58,
433,1.00,,
434,0.35,0.39,0.25
435,1.00,,
436,1.00,,
437,0.09,0.09,0.82
438,1.00,,
439,1.00,0.00,
440,1.00,,
441,0.43,0.03,0.54
442,1.00,,
443,1.00,,
444,0.95,0.05,
445,0.63,0.12,0.25
446,0.71,0.28,
447,0.21,0.24,0.55
448,0.12,0.49,0.40
449,0.18,0.44,0.38
450,0.46,0.55,
451,0.67,0.07,0.26
452,0.91,0.09,
453,1.00,,
454,0.91,0.09,
455,0.33,0.09,0.58
456,0.04,0.96,
457,1.00,,
