,0,1,2,3
100206,0.322,0.298,0.351,0.347
100610,0.367,0.268,0.313,0.317
101006,0.283,0.286,0.282,0.256
101107,0.308,0.246,0.286,0.299
101309,0.279,0.295,0.249,0.233
101915,0.306,0.322,0.310,0.375
102008,0.365,0.309,0.278,0.336
102109,0.235,0.242,0.232,0.235
102311,0.365,0.477,0.289,0.241
102513,0.347,0.385,0.481,0.458
102614,0.313,0.293,0.260,0.282
102715,0.245,0.252,0.256,0.305
103010,0.250,0.235,0.276,0.252
103111,0.325,0.314,0.269,0.378
103212,0.365,0.355,0.294,0.272
104012,0.302,0.264,0.326,0.290
104416,0.297,0.413,0.298,0.384
104820,0.288,0.275,0.228,0.291
105014,0.269,0.393,0.270,0.305
105620,0.303,0.317,0.295,0.296
105923,0.367,0.319,0.397,0.262
106016,0.283,0.240,0.265,0.328
106521,0.316,0.383,0.318,0.275
106824,0.326,0.278,0.286,0.294
107018,0.359,0.306,0.288,0.276
107321,0.355,0.315,0.296,0.296
107422,0.306,0.258,0.233,0.244
107725,0.426,0.290,0.420,0.412
108020,0.420,0.301,0.271,0.269
108121,0.397,0.396,0.302,0.331
108222,0.367,0.266,0.327,0.328
108323,0.251,0.259,0.254,0.247
108525,0.262,0.256,0.267,0.261
108828,0.251,0.387,0.281,0.288
109123,0.336,0.283,0.346,0.308
109325,0.376,0.329,0.335,0.271
109830,0.389,0.386,0.478,0.439
110007,0.420,0.455,0.345,0.414
110613,0.249,0.299,0.268,0.244
111211,0.394,0.369,0.330,0.305
111413,0.308,0.306,0.268,0.333
111716,0.293,0.281,0.281,0.208
112112,0.255,0.255,0.213,0.249
112314,0.255,0.317,0.297,0.272
112516,0.341,0.253,0.290,0.254
112920,0.254,0.272,0.251,0.273
113316,0.297,0.250,0.240,0.315
113922,0.356,0.340,0.256,0.255
114217,0.271,0.282,0.266,0.305
114318,0.242,0.232,0.254,0.224
114419,0.337,0.283,0.270,0.337
114621,0.280,0.278,0.318,0.321
114823,0.320,0.363,0.293,0.329
115017,0.317,0.377,0.380,0.415
115219,0.393,0.318,0.268,0.264
115724,0.388,0.328,0.321,0.430
115825,0.283,0.343,0.328,0.302
116524,0.256,0.316,0.286,0.212
116726,0.254,0.300,0.352,0.313
117021,0.317,0.272,0.296,0.292
117930,0.337,0.287,0.287,0.315
118023,0.268,0.368,0.281,0.262
118124,0.437,0.423,0.365,0.366
118225,0.255,0.277,0.278,0.267
118528,0.248,0.230,0.243,0.225
118831,0.257,0.303,0.252,0.247
119025,0.278,0.244,0.263,0.260
119126,0.284,0.347,0.288,0.285
120414,0.279,0.284,0.316,0.242
120515,0.303,0.369,0.352,0.347
120717,0.294,0.277,0.363,0.312
121416,0.262,0.272,0.244,0.265
121618,0.293,0.274,0.249,0.251
121921,0.235,0.311,0.208,0.252
122317,0.233,0.249,0.265,0.244
122620,0.245,0.383,0.249,0.261
122822,0.287,0.385,0.282,0.267
123420,0.362,0.282,0.307,0.272
123521,0.327,0.241,0.283,0.224
123723,0.248,0.289,0.326,0.333
123824,0.253,0.233,0.265,0.266
123925,0.287,0.290,0.317,0.307
124220,0.334,0.398,0.381,0.357
124624,0.275,0.216,0.225,0.287
124826,0.352,0.305,0.257,0.308
125222,0.239,0.267,0.359,0.315
125424,0.394,0.494,0.293,0.339
126426,0.338,0.467,0.455,0.388
126628,0.316,0.384,0.300,0.230
127226,0.235,0.287,0.316,0.303
127327,0.525,0.438,0.353,0.435
127630,0.309,0.250,0.301,0.240
127731,0.299,0.326,0.296,0.288
127832,0.240,0.266,0.267,0.269
128026,0.304,0.324,0.280,0.311
128127,0.235,0.275,0.248,0.274
128935,0.453,0.325,0.357,0.336
129129,0.289,0.378,0.402,0.374
129331,0.392,0.287,0.249,0.245
129634,0.295,0.279,0.240,0.247
130114,0.369,0.296,0.335,0.302
130316,0.338,0.338,0.287,0.306
130417,0.256,0.238,0.240,0.236
130518,0.285,0.260,0.286,0.453
130619,0.305,0.322,0.279,0.295
130720,0.285,0.319,0.243,0.345
130821,0.384,0.263,0.314,0.272
131217,0.339,0.275,0.311,0.277
131419,0.323,0.281,0.268,0.281
131722,0.384,0.275,0.330,0.441
131823,0.241,0.249,0.255,0.258
132017,0.216,0.247,0.262,0.259
132118,0.274,0.372,0.357,0.283
133019,0.281,0.298,0.267,0.229
134021,0.421,0.409,0.306,0.376
134223,0.323,0.319,0.349,0.332
