,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49
0,1.000,-0.317,-0.185,0.408,0.416,-0.205,-0.050,-0.207,0.001,-0.140,0.278,0.304,0.215,-0.132,-0.026,0.564,-0.004,0.315,-0.056,0.234,0.040,0.157,0.227,-0.288,-0.070,0.022,-0.158,-0.071,-0.143,-0.013,-0.071,0.141,0.154,0.112,-0.278,-0.123,0.194,-0.148,-0.236,-0.134,-0.071,0.029,-0.242,0.006,-0.078,-0.087,0.084,-0.010,-0.056,-0.049
1,-0.317,1.000,0.090,-0.136,-0.035,0.077,-0.002,0.090,0.040,0.131,-0.231,-0.196,-0.159,0.115,-0.103,-0.030,0.215,0.061,-0.126,-0.180,0.297,-0.146,0.191,0.174,-0.020,0.043,0.141,0.003,0.109,-0.073,0.114,-0.161,-0.105,-0.198,0.241,0.124,-0.125,0.044,0.123,0.163,0.066,0.112,0.089,0.039,0.122,0.056,0.026,0.044,0.073,0.009
2,-0.185,0.090,1.000,-0.128,-0.023,0.236,-0.220,0.211,0.374,-0.339,-0.252,-0.354,-0.199,0.212,-0.191,-0.081,0.037,-0.139,-0.118,-0.027,-0.062,0.002,-0.092,-0.008,0.093,-0.246,-0.020,0.105,0.084,0.329,-0.167,-0.034,-0.034,0.025,0.057,0.166,0.005,-0.084,0.027,-0.177,-0.156,-0.118,0.071,-0.206,-0.011,0.025,-0.114,-0.015,0.081,-0.033
3,0.408,-0.136,-0.128,1.000,0.359,-0.053,-0.087,-0.029,-0.120,-0.060,0.132,0.073,0.194,-0.025,-0.075,0.325,0.038,0.248,-0.035,0.238,0.189,0.029,0.273,-0.059,-0.040,0.035,-0.082,-0.043,-0.095,0.055,0.000,0.091,0.092,0.058,-0.070,0.044,0.012,-0.089,-0.063,-0.026,-0.005,0.020,-0.022,0.068,-0.045,-0.098,0.001,0.023,-0.048,-0.001
4,0.416,-0.035,-0.023,0.359,1.000,-0.171,-0.021,-0.148,-0.070,-0.132,0.200,0.080,0.279,-0.094,-0.034,0.337,-0.034,0.300,0.003,0.315,0.147,0.033,0.287,-0.177,-0.088,-0.071,-0.112,-0.053,-0.096,0.081,-0.031,0.081,0.083,0.064,-0.188,-0.044,0.133,-0.090,-0.115,-0.140,-0.023,-0.044,-0.162,0.051,-0.050,-0.089,-0.041,-0.007,-0.023,-0.043
5,-0.205,0.077,0.236,-0.053,-0.171,1.000,0.190,0.252,0.192,-0.066,-0.166,-0.306,-0.113,0.228,0.095,-0.090,0.046,-0.051,-0.037,-0.069,0.006,-0.026,-0.046,0.202,0.122,-0.040,0.226,-0.094,0.286,0.151,-0.146,-0.055,-0.041,0.009,0.174,0.109,-0.130,-0.007,0.196,0.006,-0.030,-0.072,0.169,-0.119,-0.012,-0.047,-0.211,0.035,0.023,0.017
6,-0.050,-0.002,-0.220,-0.087,-0.021,0.190,1.000,0.085,0.106,0.218,0.138,-0.019,0.171,-0.089,0.338,0.048,0.074,0.095,0.131,0.015,0.005,-0.023,0.039,0.128,-0.093,0.172,0.209,0.016,0.308,-0.135,-0.053,-0.068,-0.066,-0.028,0.022,-0.237,-0.007,-0.009,0.016,-0.010,-0.001,-0.032,-0.039,-0.012,-0.005,-0.060,-0.095,-0.019,-0.013,-0.005
7,-0.207,0.090,0.211,-0.029,-0.148,0.252,0.085,1.000,0.121,0.028,-0.181,-0.327,-0.146,0.304,-0.242,-0.130,0.132,-0.082,-0.026,-0.082,-0.043,-0.053,-0.035,0.359,-0.046,0.011,0.045,0.167,0.227,0.044,-0.075,-0.041,-0.069,-0.023,0.135,0.140,-0.078,-0.036,0.128,-0.038,-0.049,-0.066,0.165,-0.100,-0.032,-0.001,-0.131,0.021,0.050,0.005
8,0.001,0.040,0.374,-0.120,-0.070,0.192,0.106,0.121,1.000,-0.223,0.020,-0.222,-0.192,-0.011,0.015,0.149,0.277,-0.037,-0.162,0.000,-0.088,-0.014,-0.032,0.022,-0.219,0.043,0.133,0.004,0.088,0.074,-0.165,-0.069,-0.042,-0.010,-0.002,-0.036,0.002,-0.119,-0.139,-0.032,-0.159,-0.016,-0.027,-0.216,0.010,0.011,-0.095,-0.001,0.088,-0.034
9,-0.140,0.131,-0.339,-0.060,-0.132,-0.066,0.218,0.028,-0.223,1.000,0.037,0.080,-0.097,-0.019,0.196,-0.050,0.103,-0.065,0.008,-0.183,0.010,-0.163,-0.015,0.135,-0.080,0.292,0.107,0.047,0.215,-0.361,0.245,-0.185,-0.181,-0.225,0.076,-0.167,-0.064,0.087,0.097,0.126,0.093,0.099,-0.006,0.119,0.090,0.026,0.050,-0.009,-0.024,-0.013
