,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49
0,0.000,0.067,0.146,0.106,0.044,0.140,0.319,0.223,0.230,0.236,0.050,0.036,0.097,0.331,0.349,0.014,0.284,0.043,0.312,0.116,0.221,0.203,0.081,0.125,0.332,0.309,0.257,0.280,0.230,0.280,0.226,0.261,0.244,0.206,0.109,0.274,0.129,0.265,0.231,0.248,0.227,0.359,0.178,0.228,0.258,0.312,0.358,0.413,0.369,0.374
1,0.067,0.000,0.218,0.236,0.198,0.256,0.338,0.238,0.328,0.190,0.140,0.219,0.170,0.306,0.315,0.229,0.116,0.192,0.290,0.200,0.164,0.233,0.199,0.223,0.299,0.272,0.260,0.344,0.261,0.211,0.221,0.250,0.183,0.197,0.104,0.156,0.238,0.433,0.276,0.176,0.395,0.280,0.279,0.340,0.268,0.391,0.406,0.462,0.375,0.518
2,0.146,0.218,0.000,0.232,0.319,0.172,0.107,0.131,0.032,0.111,0.091,0.058,0.156,0.122,0.142,0.309,0.212,0.150,0.224,0.282,0.322,0.282,0.279,0.291,0.227,0.218,0.339,0.312,0.178,0.045,0.305,0.377,0.348,0.323,0.243,0.268,0.260,0.276,0.339,0.120,0.115,0.286,0.354,0.133,0.406,0.463,0.403,0.457,0.343,0.463
3,0.106,0.236,0.232,0.000,0.054,0.379,0.361,0.264,0.224,0.305,0.162,0.199,0.194,0.372,0.378,0.144,0.270,0.175,0.267,0.093,0.148,0.276,0.146,0.323,0.394,0.237,0.307,0.297,0.340,0.262,0.347,0.251,0.199,0.299,0.289,0.325,0.306,0.352,0.312,0.323,0.325,0.426,0.292,0.194,0.357,0.197,0.345,0.513,0.390,0.568
4,0.044,0.198,0.319,0.054,0.000,0.228,0.316,0.315,0.294,0.306,0.130,0.245,0.222,0.274,0.328,0.033,0.283,0.186,0.259,0.062,0.263,0.347,0.105,0.226,0.313,0.329,0.334,0.357,0.388,0.228,0.308,0.226,0.207,0.267,0.203,0.354,0.127,0.344,0.308,0.317,0.328,0.257,0.252,0.218,0.316,0.272,0.179,0.461,0.525,0.418
5,0.140,0.256,0.172,0.379,0.228,0.000,0.150,0.116,0.159,0.232,0.268,0.118,0.237,0.067,0.225,0.275,0.284,0.345,0.299,0.310,0.347,0.352,0.355,0.102,0.106,0.337,0.172,0.327,0.052,0.140,0.214,0.412,0.361,0.304,0.221,0.110,0.287,0.438,0.182,0.383,0.364,0.369,0.111,0.239,0.439,0.379,0.071,0.460,0.573,0.603
6,0.319,0.338,0.107,0.361,0.316,0.150,0.000,0.241,0.262,0.167,0.102,0.175,0.041,0.324,0.038,0.221,0.242,0.080,0.095,0.192,0.244,0.324,0.203,0.171,0.331,0.095,0.137,0.138,0.047,0.164,0.292,0.403,0.339,0.381,0.354,0.119,0.297,0.474,0.301,0.344,0.443,0.415,0.338,0.425,0.448,0.350,0.397,0.515,0.530,0.568
7,0.223,0.238,0.131,0.264,0.315,0.116,0.241,0.000,0.222,0.313,0.321,0.128,0.238,0.142,0.157,0.240,0.176,0.362,0.283,0.344,0.361,0.328,0.365,0.087,0.274,0.307,0.345,0.110,0.253,0.233,0.352,0.299,0.354,0.330,0.199,0.148,0.375,0.399,0.228,0.364,0.273,0.427,0.105,0.327,0.433,0.490,0.265,0.549,0.481,0.558
8,0.230,0.328,0.032,0.224,0.294,0.159,0.262,0.222,0.000,0.063,0.311,0.136,0.208,0.325,0.310,0.089,0.047,0.267,0.257,0.301,0.279,0.335,0.321,0.278,0.221,0.315,0.208,0.362,0.296,0.260,0.173,0.329,0.328,0.369,0.330,0.385,0.272,0.194,0.251,0.389,0.214,0.384,0.352,0.108,0.465,0.467,0.265,0.481,0.311,0.490
9,0.236,0.190,0.111,0.305,0.306,0.232,0.167,0.313,0.063,0.000,0.194,0.233,0.264,0.246,0.130,0.285,0.201,0.310,0.256,0.251,0.357,0.250,0.276,0.318,0.269,0.059,0.262,0.247,0.087,0.071,0.062,0.227,0.268,0.158,0.274,0.165,0.248,0.328,0.278,0.248,0.342,0.333,0.301,0.257,0.345,0.423,0.434,0.451,0.426,0.431
10,0.050,0.140,0.091,0.162,0.130,0.268,0.102,0.321,0.311,0.194,0.000,0.073,0.044,0.275,0.063,0.232,0.298,0.058,0.054,0.077,0.316,0.327,0.209,0.306,0.203,0.237,0.303,0.162,0.377,0.284,0.308,0.273,0.248,0.258,0.180,0.351,0.300,0.350,0.246,0.263,0.291,0.386,0.379,0.277,0.173,0.131,0.293,0.479,0.342,0.475
11,0.036,0.219,0.058,0.199,0.245,0.118,0.175,0.128,0.136,0.233,0.073,0.000,0.091,0.304,0.075,0.193,0.273,0.111,0.080,0.190,0.287,0.074,0.212,0.101,0.163,0.076,0.064,0.227,0.304,0.179,0.225,0.120,0.105,0.225,0.121,0.312,0.032,0.283,0.197,0.255,0.229,0.350,0.264,0.224,0.236,0.220,0.166,0.436,0.180,0.481
12,0.097,0.170,0.156,0.194,0.222,0.237,0.041,0.238,0.208,0.264,0.044,0.091,0.000,0.309,0.075,0.248,0.194,0.031,0.065,0.026,0.071,0.309,0.061,0.341,0.361,0.306,0.324,0.269,0.372,0.351,0.285,0.281,0.300,0.204,0.286,0.228,0.309,0.421,0.210,0.317,0.327,0.244,0.335,0.251,0.287,0.220,0.332,0.510,0.382,0.580
13,0.331,0.306,0.122,0.372,0.274,0.067,0.324,0.142,0.325,0.246,0.275,0.304,0.309,0.000,0.286,0.320,0.134,0.265,0.374,0.374,0.366,0.392,0.259,0.062,0.029,0.109,0.298,0.066,0.039,0.280,0.168,0.210,0.245,0.360,0.244,0.180,0.372,0.401,0.226,0.262,0.395,0.439,0.101,0.308,0.431,0.475,0.365,0.562,0.475,0.579
14,0.349,0.315,0.142,0.378,0.328,0.225,0.038,0.157,0.310,0.130,0.063,0.075,0.075,0.286,0.000,0.300,0.331,0.266,0.072,0.202,0.358,0.323,0.361,0.328,0.297,0.134,0.328,0.336,0.092,0.288,0.308,0.333,0.365,0.305,0.341,0.167,0.321,0.469,0.353,0.373,0.380,0.433,0.363,0.348,0.394,0.271,0.397,0.496,0.297,0.528
15,0.014,0.229,0.309,0.144,0.033,0.275,0.221,0.240,0.089,0.285,0.232,0.193,0.248,0.320,0.300,0.000,0.119,0.074,0.329,0.235,0.250,0.281,0.106,0.268,0.340,0.285,0.233,0.294,0.267,0.176,0.298,0.286,0.243,0.309,0.247,0.337,0.207,0.303,0.185,0.188,0.301,0.343,0.201,0.321,0.293,0.360,0.382,0.396,0.454,0.340
16,0.284,0.116,0.212,0.270,0.283,0.284,0.242,0.176,0.047,0.201,0.298,0.273,0.194,0.134,0.331,0.119,0.000,0.276,0.207,0.280,0.289,0.221,0.356,0.260,0.223,0.092,0.267,0.288,0.292,0.220,0.361,0.196,0.190,0.192,0.289,0.329,0.293,0.285,0.211,0.217,0.362,0.256,0.363,0.304,0.410,0.461,0.401,0.490,0.453,0.430
17,0.043,0.192,0.150,0.175,0.186,0.345,0.080,0.362,0.267,0.310,0.058,0.111,0.031,0.265,0.266,0.074,0.276,0.000,0.195,0.114,0.046,0.303,0.017,0.246,0.296,0.362,0.286,0.222,0.375,0.277,0.299,0.368,0.323,0.232,0.245,0.264,0.322,0.356,0.251,0.255,0.315,0.359,0.301,0.260,0.300,0.358,0.275,0.497,0.501,0.515
18,0.312,0.290,0.224,0.267,0.259,0.299,0.095,0.283,0.257,0.256,0.054,0.080,0.065,0.374,0.072,0.329,0.207,0.195,0.000,0.161,0.355,0.229,0.307,0.385,0.332,0.246,0.295,0.141,0.322,0.257,0.317,0.062,0.146,0.101,0.300,0.423,0.345,0.435,0.320,0.300,0.392,0.291,0.261,0.260,0.294,0.129,0.258,0.558,0.430,0.582
19,0.116,0.200,0.282,0.093,0.062,0.310,0.192,0.344,0.301,0.251,0.077,0.190,0.026,0.374,0.202,0.235,0.280,0.114,0.161,0.000,0.242,0.234,0.153,0.278,0.340,0.326,0.304,0.228,0.293,0.132,0.320,0.153,0.100,0.113,0.289,0.393,0.124,0.316,0.310,0.275,0.329,0.214,0.296,0.311,0.217,0.193,0.332,0.502,0.444,0.509
20,0.221,0.164,0.322,0.148,0.263,0.347,0.244,0.361,0.279,0.357,0.316,0.287,0.071,0.366,0.358,0.250,0.289,0.046,0.355,0.242,0.000,0.314,0.087,0.317,0.349,0.386,0.298,0.313,0.369,0.320,0.316,0.377,0.339,0.343,0.239,0.388,0.326,0.394,0.242,0.332,0.337,0.417,0.279,0.322,0.436,0.432,0.324,0.565,0.504,0.525
21,0.203,0.233,0.282,0.276,0.347,0.352,0.324,0.328,0.335,0.250,0.327,0.074,0.309,0.392,0.323,0.281,0.221,0.303,0.229,0.234,0.314,0.000,0.321,0.168,0.271,0.311,0.207,0.369,0.318,0.173,0.274,0.135,0.109,0.119,0.304,0.342,0.048,0.378,0.356,0.182,0.240,0.235,0.299,0.313,0.317,0.267,0.349,0.471,0.360,0.517
22,0.081,0.199,0.279,0.146,0.105,0.355,0.203,0.365,0.321,0.276,0.209,0.212,0.061,0.259,0.361,0.106,0.356,0.017,0.307,0.153,0.087,0.321,0.000,0.207,0.370,0.361,0.323,0.311,0.354,0.353,0.333,0.350,0.317,0.274,0.305,0.393,0.292,0.387,0.292,0.339,0.293,0.405,0.317,0.232,0.348,0.393,0.411,0.521,0.514,0.504
23,0.125,0.223,0.291,0.323,0.226,0.102,0.171,0.087,0.278,0.318,0.306,0.101,0.341,0.062,0.328,0.268,0.260,0.246,0.385,0.278,0.317,0.168,0.207,0.000,0.340,0.224,0.077,0.136,0.181,0.307,0.190,0.183,0.264,0.292,0.090,0.074,0.137,0.373,0.054,0.071,0.183,0.370,0.065,0.210,0.373,0.424,0.305,0.473,0.161,0.461
24,0.332,0.299,0.227,0.394,0.313,0.106,0.331,0.274,0.221,0.269,0.203,0.163,0.361,0.029,0.297,0.340,0.223,0.296,0.332,0.340,0.349,0.271,0.370,0.340,0.000,0.166,0.208,0.061,0.062,0.248,0.123,0.322,0.367,0.350,0.290,0.293,0.280,0.335,0.322,0.371,0.371,0.360,0.157,0.335,0.355,0.358,0.378,0.526,0.493,0.583
25,0.309,0.272,0.218,0.237,0.329,0.337,0.095,0.307,0.315,0.059,0.237,0.076,0.306,0.109,0.134,0.285,0.092,0.362,0.246,0.326,0.386,0.311,0.361,0.224,0.166,0.000,0.313,0.274,0.199,0.068,0.186,0.361,0.276,0.311,0.335,0.284,0.357,0.476,0.323,0.314,0.403,0.431,0.244,0.364,0.314,0.330,0.155,0.460,0.488,0.476
26,0.257,0.260,0.339,0.307,0.334,0.172,0.137,0.345,0.208,0.262,0.303,0.064,0.324,0.298,0.328,0.233,0.267,0.286,0.295,0.304,0.298,0.207,0.323,0.077,0.208,0.313,0.000,0.394,0.152,0.304,0.263,0.292,0.127,0.123,0.043,0.314,0.131,0.435,0.088,0.090,0.253,0.337,0.267,0.219,0.269,0.387,0.253,0.473,0.169,0.529
27,0.280,0.344,0.312,0.297,0.357,0.327,0.138,0.110,0.362,0.247,0.162,0.227,0.269,0.066,0.336,0.294,0.288,0.222,0.141,0.228,0.313,0.369,0.311,0.136,0.061,0.274,0.394,0.000,0.075,0.258,0.347,0.374,0.365,0.366,0.350,0.139,0.282,0.486,0.259,0.417,0.409,0.347,0.152,0.409,0.432,0.447,0.334,0.449,0.511,0.540
28,0.230,0.261,0.178,0.340,0.388,0.052,0.047,0.253,0.296,0.087,0.377,0.304,0.372,0.039,0.092,0.267,0.292,0.375,0.322,0.293,0.369,0.318,0.354,0.181,0.062,0.199,0.152,0.075,0.000,0.351,0.346,0.299,0.213,0.361,0.248,0.359,0.278,0.482,0.220,0.332,0.214,0.398,0.326,0.230,0.300,0.462,0.087,0.511,0.519,0.526
29,0.280,0.211,0.045,0.262,0.228,0.140,0.164,0.233,0.260,0.071,0.284,0.179,0.351,0.280,0.288,0.176,0.220,0.277,0.257,0.132,0.320,0.173,0.353,0.307,0.248,0.068,0.304,0.258,0.351,0.000,0.346,0.169,0.113,0.080,0.297,0.149,0.225,0.324,0.218,0.128,0.211,0.138,0.337,0.385,0.287,0.330,0.119,0.417,0.461,0.545
30,0.226,0.221,0.305,0.347,0.308,0.214,0.292,0.352,0.173,0.062,0.308,0.225,0.285,0.168,0.308,0.298,0.361,0.299,0.317,0.320,0.316,0.274,0.333,0.190,0.123,0.186,0.263,0.347,0.346,0.346,0.000,0.260,0.200,0.325,0.199,0.303,0.262,0.250,0.269,0.280,0.326,0.369,0.249,0.143,0.275,0.391,0.424,0.410,0.298,0.308
31,0.261,0.250,0.377,0.251,0.226,0.412,0.403,0.299,0.329,0.227,0.273,0.120,0.281,0.210,0.333,0.286,0.196,0.368,0.062,0.153,0.377,0.135,0.350,0.183,0.322,0.361,0.292,0.374,0.299,0.169,0.260,0.000,0.043,0.214,0.273,0.283,0.097,0.422,0.354,0.289,0.272,0.243,0.319,0.336,0.207,0.331,0.323,0.360,0.361,0.511
32,0.244,0.183,0.348,0.199,0.207,0.361,0.339,0.354,0.328,0.268,0.248,0.105,0.300,0.245,0.365,0.243,0.190,0.323,0.146,0.100,0.339,0.109,0.317,0.264,0.367,0.276,0.127,0.365,0.213,0.113,0.200,0.043,0.000,0.041,0.249,0.243,0.071,0.351,0.293,0.279,0.256,0.263,0.290,0.325,0.194,0.289,0.140,0.455,0.352,0.451
33,0.206,0.197,0.323,0.299,0.267,0.304,0.381,0.330,0.369,0.158,0.258,0.225,0.204,0.360,0.305,0.309,0.192,0.232,0.101,0.113,0.343,0.119,0.274,0.292,0.350,0.311,0.123,0.366,0.361,0.080,0.325,0.214,0.041,0.000,0.266,0.383,0.087,0.305,0.342,0.243,0.334,0.238,0.340,0.291,0.197,0.323,0.368,0.393,0.416,0.548
34,0.109,0.104,0.243,0.289,0.203,0.221,0.354,0.199,0.330,0.274,0.180,0.121,0.286,0.244,0.341,0.247,0.289,0.245,0.300,0.289,0.239,0.304,0.305,0.090,0.290,0.335,0.043,0.350,0.248,0.297,0.199,0.273,0.249,0.266,0.000,0.281,0.134,0.311,0.039,0.084,0.289,0.342,0.274,0.280,0.126,0.401,0.371,0.443,0.258,0.460
35,0.274,0.156,0.268,0.325,0.354,0.110,0.119,0.148,0.385,0.165,0.351,0.312,0.228,0.180,0.167,0.337,0.329,0.264,0.423,0.393,0.388,0.342,0.393,0.074,0.293,0.284,0.314,0.139,0.359,0.149,0.303,0.283,0.243,0.383,0.281,0.000,0.360,0.401,0.228,0.321,0.324,0.405,0.058,0.337,0.362,0.493,0.161,0.423,0.401,0.525
36,0.129,0.238,0.260,0.306,0.127,0.287,0.297,0.375,0.272,0.248,0.300,0.032,0.309,0.372,0.321,0.207,0.293,0.322,0.345,0.124,0.326,0.048,0.292,0.137,0.280,0.357,0.131,0.282,0.278,0.225,0.262,0.097,0.071,0.087,0.134,0.360,0.000,0.314,0.248,0.223,0.297,0.287,0.315,0.299,0.214,0.317,0.279,0.329,0.335,0.393
37,0.265,0.433,0.276,0.352,0.344,0.438,0.474,0.399,0.194,0.328,0.350,0.283,0.421,0.401,0.469,0.303,0.285,0.356,0.435,0.316,0.394,0.378,0.387,0.373,0.335,0.476,0.435,0.486,0.482,0.324,0.250,0.422,0.351,0.305,0.311,0.401,0.314,0.000,0.379,0.360,0.401,0.361,0.310,0.434,0.259,0.431,0.157,0.525,0.557,0.510
38,0.231,0.276,0.339,0.312,0.308,0.182,0.301,0.228,0.251,0.278,0.246,0.197,0.210,0.226,0.353,0.185,0.211,0.251,0.320,0.310,0.242,0.356,0.292,0.054,0.322,0.323,0.088,0.259,0.220,0.218,0.269,0.354,0.293,0.342,0.039,0.228,0.248,0.379,0.000,0.256,0.329,0.341,0.081,0.129,0.354,0.416,0.433,0.464,0.373,0.467
39,0.248,0.176,0.120,0.323,0.317,0.383,0.344,0.364,0.389,0.248,0.263,0.255,0.317,0.262,0.373,0.188,0.217,0.255,0.300,0.275,0.332,0.182,0.339,0.071,0.371,0.314,0.090,0.417,0.332,0.128,0.280,0.289,0.279,0.243,0.084,0.321,0.223,0.360,0.256,0.000,0.031,0.334,0.323,0.048,0.343,0.386,0.167,0.444,0.276,0.483
40,0.227,0.395,0.115,0.325,0.328,0.364,0.443,0.273,0.214,0.342,0.291,0.229,0.327,0.395,0.380,0.301,0.362,0.315,0.392,0.329,0.337,0.240,0.293,0.183,0.371,0.403,0.253,0.409,0.214,0.211,0.326,0.272,0.256,0.334,0.289,0.324,0.297,0.401,0.329,0.031,0.000,0.395,0.226,0.221,0.374,0.391,0.439,0.446,0.399,0.440
41,0.359,0.280,0.286,0.426,0.257,0.369,0.415,0.427,0.384,0.333,0.386,0.350,0.244,0.439,0.433,0.343,0.256,0.359,0.291,0.214,0.417,0.235,0.405,0.370,0.360,0.431,0.337,0.347,0.398,0.138,0.369,0.243,0.263,0.238,0.342,0.405,0.287,0.361,0.341,0.334,0.395,0.000,0.354,0.385,0.225,0.297,0.422,0.470,0.471,0.452
42,0.178,0.279,0.354,0.292,0.252,0.111,0.338,0.105,0.352,0.301,0.379,0.264,0.335,0.101,0.363,0.201,0.363,0.301,0.261,0.296,0.279,0.299,0.317,0.065,0.157,0.244,0.267,0.152,0.326,0.337,0.249,0.319,0.290,0.340,0.274,0.058,0.315,0.310,0.081,0.323,0.226,0.354,0.000,0.269,0.317,0.413,0.431,0.428,0.461,0.392
43,0.228,0.340,0.133,0.194,0.218,0.239,0.425,0.327,0.108,0.257,0.277,0.224,0.251,0.308,0.348,0.321,0.304,0.260,0.260,0.311,0.322,0.313,0.232,0.210,0.335,0.364,0.219,0.409,0.230,0.385,0.143,0.336,0.325,0.291,0.280,0.337,0.299,0.434,0.129,0.048,0.221,0.385,0.269,0.000,0.375,0.406,0.312,0.492,0.412,0.475
44,0.258,0.268,0.406,0.357,0.316,0.439,0.448,0.433,0.465,0.345,0.173,0.236,0.287,0.431,0.394,0.293,0.410,0.300,0.294,0.217,0.436,0.317,0.348,0.373,0.355,0.314,0.269,0.432,0.300,0.287,0.275,0.207,0.194,0.197,0.126,0.362,0.214,0.259,0.354,0.343,0.374,0.225,0.317,0.375,0.000,0.436,0.062,0.492,0.403,0.519
45,0.312,0.391,0.463,0.197,0.272,0.379,0.350,0.490,0.467,0.423,0.131,0.220,0.220,0.475,0.271,0.360,0.461,0.358,0.129,0.193,0.432,0.267,0.393,0.424,0.358,0.330,0.387,0.447,0.462,0.330,0.391,0.331,0.289,0.323,0.401,0.493,0.317,0.431,0.416,0.386,0.391,0.297,0.413,0.406,0.436,0.000,0.263,0.157,0.372,0.532
46,0.358,0.406,0.403,0.345,0.179,0.071,0.397,0.265,0.265,0.434,0.293,0.166,0.332,0.365,0.397,0.382,0.401,0.275,0.258,0.332,0.324,0.349,0.411,0.305,0.378,0.155,0.253,0.334,0.087,0.119,0.424,0.323,0.140,0.368,0.371,0.161,0.279,0.157,0.433,0.167,0.439,0.422,0.431,0.312,0.062,0.263,0.000,0.408,0.456,0.544
47,0.413,0.462,0.457,0.513,0.461,0.460,0.515,0.549,0.481,0.451,0.479,0.436,0.510,0.562,0.496,0.396,0.490,0.497,0.558,0.502,0.565,0.471,0.521,0.473,0.526,0.460,0.473,0.449,0.511,0.417,0.410,0.360,0.455,0.393,0.443,0.423,0.329,0.525,0.464,0.444,0.446,0.470,0.428,0.492,0.492,0.157,0.408,0.000,0.538,0.548
48,0.369,0.375,0.343,0.390,0.525,0.573,0.530,0.481,0.311,0.426,0.342,0.180,0.382,0.475,0.297,0.454,0.453,0.501,0.430,0.444,0.504,0.360,0.514,0.161,0.493,0.488,0.169,0.511,0.519,0.461,0.298,0.361,0.352,0.416,0.258,0.401,0.335,0.557,0.373,0.276,0.399,0.471,0.461,0.412,0.403,0.372,0.456,0.538,0.000,0.487
49,0.374,0.518,0.463,0.568,0.418,0.603,0.568,0.558,0.490,0.431,0.475,0.481,0.580,0.579,0.528,0.340,0.430,0.515,0.582,0.509,0.525,0.517,0.504,0.461,0.583,0.476,0.529,0.540,0.526,0.545,0.308,0.511,0.451,0.548,0.460,0.525,0.393,0.510,0.467,0.483,0.440,0.452,0.392,0.475,0.519,0.532,0.544,0.548,0.487,0.000
