,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49
0,0.000,0.075,0.077,0.055,0.071,0.071,0.084,0.074,0.084,0.079,0.075,0.063,0.073,0.075,0.081,0.039,0.079,0.066,0.076,0.066,0.081,0.071,0.077,0.059,0.073,0.076,0.056,0.069,0.070,0.071,0.056,0.061,0.064,0.059,0.053,0.058,0.067,0.048,0.057,0.049,0.044,0.042,0.048,0.048,0.052,0.032,0.048,0.029,0.028,0.025
1,0.075,0.000,0.084,0.084,0.089,0.081,0.084,0.081,0.085,0.082,0.075,0.074,0.077,0.079,0.080,0.076,0.083,0.078,0.077,0.076,0.073,0.081,0.075,0.066,0.076,0.076,0.060,0.071,0.075,0.077,0.056,0.065,0.074,0.065,0.055,0.059,0.073,0.048,0.058,0.053,0.043,0.047,0.051,0.049,0.051,0.032,0.049,0.030,0.029,0.025
2,0.077,0.084,0.000,0.078,0.086,0.079,0.080,0.080,0.067,0.069,0.074,0.062,0.071,0.078,0.076,0.076,0.093,0.071,0.078,0.072,0.081,0.081,0.078,0.071,0.082,0.071,0.062,0.077,0.082,0.057,0.050,0.066,0.068,0.064,0.061,0.057,0.070,0.047,0.062,0.049,0.041,0.045,0.053,0.042,0.053,0.033,0.049,0.029,0.028,0.025
3,0.055,0.084,0.078,0.000,0.073,0.076,0.081,0.079,0.078,0.080,0.080,0.074,0.073,0.076,0.079,0.060,0.082,0.068,0.078,0.064,0.076,0.074,0.072,0.066,0.074,0.075,0.057,0.070,0.070,0.070,0.054,0.061,0.065,0.059,0.058,0.060,0.066,0.046,0.058,0.052,0.041,0.045,0.051,0.046,0.050,0.031,0.047,0.029,0.028,0.025
4,0.071,0.089,0.086,0.073,0.000,0.076,0.096,0.082,0.086,0.082,0.086,0.083,0.065,0.081,0.090,0.067,0.086,0.065,0.089,0.061,0.075,0.076,0.067,0.066,0.077,0.077,0.062,0.075,0.075,0.073,0.057,0.065,0.069,0.063,0.059,0.064,0.071,0.050,0.064,0.051,0.044,0.044,0.052,0.048,0.052,0.032,0.050,0.029,0.029,0.025
5,0.071,0.081,0.079,0.076,0.076,0.000,0.084,0.075,0.082,0.085,0.076,0.063,0.072,0.073,0.084,0.072,0.087,0.073,0.076,0.068,0.078,0.075,0.078,0.064,0.076,0.079,0.053,0.073,0.058,0.070,0.051,0.062,0.065,0.062,0.055,0.061,0.066,0.048,0.053,0.050,0.043,0.043,0.049,0.046,0.052,0.032,0.042,0.029,0.029,0.025
6,0.084,0.084,0.080,0.081,0.096,0.084,0.000,0.089,0.089,0.081,0.086,0.085,0.077,0.082,0.070,0.076,0.093,0.076,0.080,0.076,0.081,0.077,0.082,0.068,0.081,0.079,0.055,0.079,0.066,0.073,0.056,0.063,0.067,0.064,0.062,0.053,0.071,0.048,0.061,0.053,0.043,0.045,0.053,0.049,0.054,0.033,0.047,0.029,0.029,0.025
7,0.074,0.081,0.080,0.079,0.082,0.075,0.089,0.000,0.085,0.088,0.079,0.064,0.072,0.071,0.071,0.072,0.085,0.073,0.078,0.070,0.078,0.076,0.078,0.048,0.078,0.080,0.060,0.072,0.075,0.074,0.054,0.062,0.064,0.061,0.058,0.059,0.068,0.047,0.060,0.052,0.043,0.043,0.051,0.046,0.051,0.032,0.047,0.029,0.028,0.025
8,0.084,0.085,0.067,0.078,0.086,0.082,0.089,0.085,0.000,0.081,0.093,0.075,0.072,0.087,0.091,0.075,0.078,0.076,0.077,0.074,0.081,0.079,0.080,0.071,0.075,0.084,0.060,0.080,0.080,0.075,0.051,0.064,0.068,0.065,0.063,0.064,0.070,0.046,0.060,0.054,0.040,0.046,0.054,0.042,0.054,0.033,0.048,0.029,0.028,0.025
9,0.079,0.082,0.069,0.080,0.082,0.085,0.081,0.088,0.081,0.000,0.085,0.081,0.078,0.087,0.076,0.075,0.093,0.077,0.082,0.071,0.081,0.075,0.080,0.067,0.080,0.068,0.059,0.074,0.073,0.056,0.048,0.060,0.064,0.057,0.064,0.059,0.072,0.047,0.061,0.051,0.043,0.044,0.055,0.046,0.053,0.033,0.049,0.029,0.029,0.025
10,0.075,0.075,0.074,0.080,0.086,0.076,0.086,0.079,0.093,0.085,0.000,0.074,0.066,0.078,0.067,0.075,0.084,0.072,0.070,0.068,0.081,0.075,0.080,0.066,0.074,0.076,0.062,0.073,0.075,0.073,0.056,0.063,0.066,0.062,0.057,0.061,0.070,0.047,0.058,0.052,0.043,0.043,0.052,0.049,0.049,0.031,0.049,0.029,0.029,0.025
