,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49
0,1.000,-0.366,-0.219,0.522,0.406,-0.295,-0.041,-0.230,-0.050,-0.081,0.306,0.380,0.274,-0.190,-0.005,0.597,-0.018,0.359,-0.021,0.303,0.083,0.179,0.240,-0.340,-0.039,0.031,-0.209,-0.085,-0.183,-0.038,-0.055,0.113,0.159,0.193,-0.360,-0.206,0.208,-0.155,-0.296,-0.143,-0.041,0.013,-0.295,0.007,-0.111,-0.140,0.053,-0.025,-0.092,-0.065
1,-0.366,1.000,0.110,-0.239,0.001,0.076,-0.035,0.054,0.009,0.101,-0.283,-0.205,-0.171,0.121,-0.136,-0.103,0.176,0.088,-0.146,-0.213,0.337,-0.167,0.271,0.190,0.009,-0.017,0.134,0.046,0.091,-0.062,0.105,-0.190,-0.133,-0.229,0.270,0.155,-0.108,0.086,0.168,0.153,0.089,0.110,0.104,0.045,0.113,0.079,0.027,0.020,0.102,0.020
2,-0.219,0.110,1.000,-0.179,-0.017,0.290,-0.314,0.280,0.470,-0.570,-0.366,-0.485,-0.275,0.247,-0.393,-0.064,0.039,-0.205,-0.200,-0.032,-0.083,0.038,-0.136,0.007,0.094,-0.388,-0.028,0.026,-0.032,0.472,-0.330,0.011,0.036,0.081,0.163,0.345,0.004,-0.123,0.034,-0.217,-0.191,-0.121,0.120,-0.331,0.042,0.070,-0.130,-0.003,0.167,-0.029
3,0.522,-0.239,-0.179,1.000,0.351,-0.149,-0.103,-0.074,-0.179,-0.010,0.172,0.180,0.219,-0.084,-0.069,0.355,-0.004,0.274,-0.032,0.298,0.183,0.061,0.259,-0.131,-0.022,0.013,-0.169,-0.029,-0.148,0.020,0.001,0.097,0.117,0.139,-0.189,-0.011,0.071,-0.128,-0.104,-0.072,0.020,-0.039,-0.041,0.092,-0.130,-0.138,0.012,0.006,-0.097,-0.008
4,0.406,0.001,-0.017,0.351,1.000,-0.249,0.027,-0.213,-0.129,-0.104,0.216,0.094,0.434,-0.100,-0.034,0.332,-0.119,0.430,0.073,0.408,0.266,0.020,0.388,-0.241,-0.039,-0.157,-0.138,-0.012,-0.109,0.067,-0.042,0.016,0.058,0.084,-0.213,-0.125,0.118,-0.082,-0.118,-0.210,-0.022,-0.071,-0.221,0.063,-0.071,-0.128,-0.082,-0.000,-0.029,-0.052
5,-0.295,0.076,0.290,-0.149,-0.249,1.000,0.181,0.297,0.209,-0.091,-0.293,-0.420,-0.238,0.271,0.027,-0.151,0.047,-0.151,-0.133,-0.191,-0.054,-0.036,-0.148,0.206,0.138,-0.087,0.332,-0.165,0.408,0.211,-0.250,-0.062,-0.070,-0.019,0.298,0.119,-0.149,-0.012,0.310,-0.042,-0.080,-0.079,0.229,-0.217,0.035,-0.011,-0.268,0.056,0.047,0.024
6,-0.041,-0.035,-0.314,-0.103,0.027,0.181,1.000,0.068,0.096,0.275,0.205,-0.041,0.215,-0.177,0.395,0.066,0.073,0.157,0.181,0.001,0.002,-0.050,0.058,0.165,-0.170,0.210,0.326,-0.014,0.385,-0.203,-0.030,-0.111,-0.119,-0.074,0.023,-0.403,-0.030,0.005,0.010,-0.028,-0.052,-0.021,-0.138,-0.010,0.019,-0.088,-0.185,-0.006,-0.023,-0.012
7,-0.230,0.054,0.280,-0.074,-0.213,0.297,0.068,1.000,0.234,-0.097,-0.256,-0.414,-0.259,0.305,-0.382,-0.144,0.220,-0.144,-0.078,-0.139,-0.121,-0.029,-0.096,0.501,-0.142,-0.005,0.040,0.107,0.147,0.051,-0.187,-0.019,-0.065,-0.024,0.199,0.198,-0.054,-0.064,0.130,-0.059,-0.089,-0.070,0.175,-0.217,-0.008,0.042,-0.168,0.033,0.107,0.010
8,-0.050,0.009,0.470,-0.179,-0.129,0.209,0.096,0.234,1.000,-0.359,-0.014,-0.342,-0.281,-0.021,-0.101,0.139,0.320,-0.124,-0.240,-0.035,-0.165,0.011,-0.124,0.092,-0.293,0.005,0.185,-0.044,0.033,0.137,-0.303,-0.078,-0.038,0.030,0.058,0.003,0.014,-0.153,-0.197,-0.051,-0.226,-0.030,-0.010,-0.355,0.041,0.042,-0.158,-0.012,0.167,-0.041
9,-0.081,0.101,-0.570,-0.010,-0.104,-0.091,0.275,-0.097,-0.359,1.000,0.159,0.255,-0.016,-0.038,0.383,-0.076,0.079,0.013,0.055,-0.177,0.042,-0.220,0.021,0.170,-0.080,0.400,0.126,0.126,0.271,-0.503,0.376,-0.261,-0.263,-0.301,0.004,-0.283,-0.063,0.151,0.130,0.177,0.129,0.131,-0.045,0.236,0.074,-0.013,0.079,-0.004,-0.086,0.001
