,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49
0,1.000,-0.255,-0.116,0.219,0.325,-0.123,0.017,-0.083,0.081,-0.100,0.240,0.251,0.158,-0.045,0.008,0.496,0.050,0.282,-0.015,0.185,0.058,0.141,0.210,-0.164,-0.017,0.014,-0.080,-0.010,-0.075,0.047,-0.075,0.079,0.119,0.143,-0.199,-0.056,0.195,-0.109,-0.127,-0.105,-0.046,-0.044,-0.134,0.002,-0.089,-0.085,0.032,-0.040,-0.046,-0.041
1,-0.255,1.000,0.099,-0.002,0.048,0.070,0.007,0.087,0.043,0.102,-0.141,-0.092,-0.117,0.043,-0.034,0.013,0.157,-0.046,-0.025,-0.081,0.141,-0.054,0.107,0.085,-0.025,0.063,0.060,0.011,0.081,-0.009,0.096,-0.051,-0.000,-0.108,0.158,0.100,-0.061,0.016,0.064,0.101,0.023,0.050,0.041,0.031,0.078,0.021,-0.012,0.026,0.034,-0.017
2,-0.116,0.099,1.000,-0.067,0.035,0.110,-0.150,0.145,0.265,-0.131,-0.164,-0.244,-0.110,0.147,-0.106,-0.027,0.052,-0.079,-0.068,0.011,-0.016,0.026,-0.040,-0.042,0.076,-0.077,-0.010,0.043,0.139,0.225,-0.033,-0.014,-0.030,0.022,0.059,0.066,0.061,-0.060,0.010,-0.147,-0.128,-0.071,0.009,-0.109,0.006,-0.005,-0.040,-0.030,0.043,-0.043
3,0.219,-0.002,-0.067,1.000,0.282,0.014,-0.014,0.067,-0.073,-0.025,0.129,0.087,0.108,0.004,-0.023,0.190,0.050,0.130,0.068,0.191,0.161,0.052,0.171,-0.024,-0.003,0.064,-0.049,0.055,-0.025,0.088,-0.009,0.083,0.102,0.063,-0.011,0.057,0.033,-0.062,-0.004,-0.008,-0.016,-0.032,0.029,0.064,-0.041,-0.100,-0.048,0.003,-0.044,-0.006
4,0.325,0.048,0.035,0.282,1.000,-0.074,0.009,-0.022,0.019,-0.063,0.170,0.068,0.064,-0.071,0.008,0.296,0.026,0.122,0.036,0.219,0.042,0.034,0.188,-0.113,-0.057,-0.020,-0.053,-0.005,-0.035,0.132,-0.033,0.086,0.099,0.097,-0.126,0.018,0.146,-0.071,-0.062,-0.055,-0.009,-0.093,-0.083,0.056,-0.056,-0.073,-0.097,-0.033,-0.019,-0.041
5,-0.123,0.070,0.110,0.014,-0.074,1.000,0.147,0.147,0.093,-0.044,-0.025,-0.153,-0.047,0.172,0.104,-0.054,0.010,0.011,0.056,-0.006,0.028,-0.015,0.017,0.155,0.153,0.021,0.115,-0.020,0.225,0.105,-0.068,0.012,0.002,0.031,0.078,0.126,-0.076,0.001,0.106,0.010,-0.002,-0.042,0.143,-0.040,-0.009,-0.036,-0.153,0.031,0.004,0.007
6,0.017,0.007,-0.150,-0.014,0.009,0.147,1.000,0.087,0.077,0.124,0.130,0.077,0.232,0.035,0.216,0.087,0.088,0.153,0.132,0.076,0.086,0.005,0.098,0.115,-0.006,0.181,0.132,0.111,0.218,-0.100,-0.059,-0.017,-0.018,0.012,0.026,-0.115,0.045,-0.024,0.033,0.028,0.018,-0.029,0.048,-0.014,-0.016,-0.046,-0.028,-0.019,-0.011,-0.015
7,-0.083,0.087,0.145,0.067,-0.022,0.147,0.087,1.000,0.068,0.013,-0.003,-0.136,-0.042,0.148,-0.120,-0.069,0.091,-0.001,0.081,0.030,0.033,0.017,0.001,0.174,-0.059,0.042,0.043,0.156,0.096,0.064,-0.002,0.044,0.002,0.032,0.103,0.104,-0.009,-0.028,0.093,-0.037,-0.055,-0.031,0.149,-0.027,-0.029,-0.030,-0.075,0.009,0.023,-0.010
8,0.081,0.043,0.265,-0.073,0.019,0.093,0.077,0.068,1.000,-0.157,0.006,-0.131,-0.079,-0.020,0.008,0.194,0.231,0.033,-0.073,0.066,-0.039,0.013,0.036,0.028,-0.120,0.050,0.083,-0.014,0.055,0.034,-0.089,-0.037,-0.007,0.018,-0.005,-0.021,0.064,-0.081,-0.079,-0.016,-0.091,-0.026,-0.016,-0.108,0.002,-0.009,-0.065,-0.015,0.055,-0.036
9,-0.100,0.102,-0.131,-0.025,-0.063,-0.044,0.124,0.013,-0.157,1.000,0.030,0.050,-0.059,-0.053,0.142,-0.043,0.095,-0.068,-0.000,-0.106,0.015,-0.054,-0.026,0.038,-0.081,0.190,0.071,0.026,0.156,-0.177,0.174,-0.063,-0.043,-0.104,0.061,-0.117,0.005,0.042,0.047,0.081,0.040,0.052,-0.033,0.054,0.046,0.021,0.006,-0.029,-0.031,-0.033
