,0,1,2,3
100206,29.0,29.0,29.0,29.0
100610,29.0,29.0,29.0,29.0
101006,29.0,29.0,29.0,29.0
101107,249.0,29.0,29.0,29.0
101309,29.0,29.0,29.0,29.0
101915,29.0,29.0,29.0,29.0
102008,29.0,29.0,29.0,29.0
102109,29.0,29.0,29.0,29.0
102311,29.0,29.0,29.0,29.0
102513,29.0,29.0,29.0,29.0
102614,29.0,29.0,29.0,29.0
102715,29.0,29.0,29.0,29.0
103010,29.0,29.0,29.0,29.0
103111,29.0,29.0,29.0,29.0
103212,29.0,29.0,29.0,29.0
104012,29.0,29.0,29.0,29.0
104416,29.0,29.0,29.0,29.0
104820,29.0,29.0,29.0,29.0
105014,29.0,29.0,29.0,29.0
105620,29.0,29.0,29.0,29.0
105923,29.0,29.0,29.0,29.0
106016,29.0,29.0,29.0,29.0
106521,29.0,29.0,29.0,29.0
106824,29.0,29.0,29.0,29.0
107018,29.0,29.0,29.0,29.0
107321,29.0,29.0,29.0,29.0
107422,29.0,29.0,29.0,29.0
107725,29.0,29.0,29.0,29.0
108020,29.0,29.0,29.0,29.0
108121,29.0,29.0,29.0,29.0
108222,29.0,29.0,29.0,29.0
108323,29.0,29.0,29.0,29.0
108525,29.0,29.0,29.0,29.0
108828,29.0,29.0,29.0,29.0
109123,29.0,29.0,29.0,29.0
109325,29.0,29.0,29.0,29.0
109830,29.0,29.0,29.0,29.0
110007,29.0,29.0,29.0,29.0
110613,29.0,29.0,29.0,29.0
111211,29.0,29.0,29.0,29.0
111413,29.0,29.0,29.0,29.0
111716,29.0,29.0,29.0,29.0
112112,29.0,29.0,29.0,29.0
112314,29.0,29.0,29.0,29.0
112516,29.0,29.0,29.0,29.0
112920,29.0,29.0,29.0,29.0
113316,29.0,29.0,29.0,29.0
113922,29.0,29.0,29.0,29.0
114217,29.0,29.0,29.0,29.0
114318,29.0,29.0,29.0,29.0
114419,29.0,29.0,29.0,29.0
114621,29.0,29.0,29.0,29.0
114823,29.0,29.0,29.0,29.0
115017,29.0,29.0,29.0,29.0
115219,29.0,29.0,29.0,29.0
115724,29.0,29.0,29.0,29.0
115825,29.0,29.0,29.0,29.0
116524,29.0,29.0,29.0,29.0
116726,29.0,29.0,29.0,29.0
117021,29.0,29.0,29.0,29.0
117930,29.0,29.0,29.0,29.0
118023,29.0,29.0,29.0,29.0
118124,29.0,29.0,29.0,29.0
118225,29.0,29.0,29.0,29.0
118528,29.0,29.0,29.0,29.0
118831,29.0,29.0,29.0,29.0
119025,29.0,29.0,29.0,29.0
119126,29.0,29.0,29.0,29.0
120414,29.0,29.0,29.0,29.0
120515,29.0,29.0,29.0,29.0
120717,29.0,29.0,29.0,29.0
121416,29.0,29.0,29.0,29.0
121618,29.0,29.0,29.0,29.0
121921,29.0,29.0,29.0,29.0
122317,29.0,29.0,29.0,29.0
