,null,constant,periodic_1,periodic_2,periodic_3,periodic_4,periodic_5,boxcar,stepwise,state_transition,change_point,average
VWP_joint,,,,,,,,,,,,
SVWP_joint,0.043,0.126,0.144,0.157,0.216,0.350,0.369,0.222,0.191,0.144,,0.196
DCC_joint,0.023,0.060,0.350,0.352,0.354,0.355,0.354,0.197,0.395,0.108,0.159,0.246
DCC_bivariate_loop,0.024,0.072,0.126,0.164,0.187,0.209,0.221,0.160,0.171,0.108,0.113,0.141
SW_cross_validated,0.091,0.113,0.130,0.293,0.375,0.403,0.357,0.229,0.199,0.142,0.162,0.227
SW_15,0.139,0.180,0.172,0.181,0.183,0.181,0.173,0.173,0.183,0.165,0.170,0.172
SW_30,0.122,0.163,0.147,0.146,0.152,0.162,0.175,0.152,0.159,0.152,0.143,0.152
SW_60,0.126,0.138,0.123,0.133,0.173,0.234,0.284,0.163,0.184,0.158,0.139,0.169
SW_120,0.112,0.127,0.120,0.216,0.326,0.400,0.435,0.218,0.183,0.180,0.176,0.227
sFC,0.046,0.052,0.366,0.356,0.363,0.360,0.358,0.207,0.419,0.114,0.182,0.257
