,VWP_joint,SVWP_joint,DCC_joint,DCC_bivariate_loop,SW_cross_validated,SW_15,SW_30,SW_60,SW_120,sFC
VWP_joint,,,,,,,,,,
SVWP_joint,,,-1.08,-0.92,6.23,20.98,14.37,10.44,6.65,0.21
DCC_joint,,-1.08,,0.15,7.28,21.78,15.26,11.32,7.47,1.09
DCC_bivariate_loop,,-0.92,0.15,,7.09,21.56,15.06,11.15,7.33,0.96
SW_cross_validated,,6.23,7.28,7.09,,15.77,8.81,5.12,1.88,-4.74
SW_15,,20.98,21.78,21.56,15.77,,-6.73,-9.06,-10.40,-16.77
SW_30,,14.37,15.26,15.06,8.81,-6.73,,-2.85,-4.97,-11.39
SW_60,,10.44,11.32,11.15,5.12,-9.06,-2.85,,-2.35,-8.45
SW_120,,6.65,7.47,7.33,1.88,-10.40,-4.97,-2.35,,-5.55
sFC,,0.21,1.09,0.96,-4.74,-16.77,-11.39,-8.45,-5.55,
