,VWP_joint,SVWP_joint,DCC_joint,DCC_bivariate_loop,SW_cross_validated,SW_15,SW_30,SW_60,SW_120,sFC
VWP_joint,-,nan,nan,nan,nan,nan,nan,nan,nan,nan
SVWP_joint,nan,-,1.,0.0544,1.,0.4178,0.0188,0.0841,1.,1.
DCC_joint,nan,1.6201,-,0.0006,0.0608,0.3595,0.0001,0.0022,0.3119,1.
DCC_bivariate_loop,nan,3.7361,5.8216,-,0.0001,1.,1.,1.,0.0002,0.0014
SW_cross_validated,nan,-0.3752,-3.6865,-6.703,-,0.0048,0.0000,0.0002,1.,1.
SW_15,nan,2.8092,2.8791,-1.3502,4.8367,-,1.,1.,0.0156,0.1298
SW_30,nan,4.2135,7.0301,0.9617,7.4592,2.1629,-,1.,0.0000,0.0002
SW_60,nan,3.5406,5.1936,-0.3552,6.3401,1.0309,-1.2992,-,0.0004,0.0035
SW_120,nan,0.2335,-2.9448,-6.3958,0.9734,-4.2977,-7.2461,-5.9814,-,1.
sFC,nan,0.8846,-1.5352,-5.3919,2.0282,-3.3447,-6.2783,-4.9737,1.1508,-
