,VWP_joint,SVWP_joint,DCC_joint,DCC_bivariate_loop,SW_cross_validated,SW_15,SW_30,SW_60,SW_120,sFC
VWP_joint,,,,,,,,,,
SVWP_joint,,,1.77,1.59,0.07,0.77,0.29,0.41,0.73,1.35
DCC_joint,,1.77,,0.07,1.82,3.10,2.15,1.94,1.73,0.51
DCC_bivariate_loop,,1.59,0.07,,1.64,2.80,1.97,1.82,1.68,0.37
SW_cross_validated,,0.07,1.82,1.64,,0.93,0.39,0.51,0.84,1.37
SW_15,,0.77,3.10,2.80,0.93,,0.47,0.24,0.34,2.54
SW_30,,0.29,2.15,1.97,0.39,0.47,,0.16,0.60,1.73
SW_60,,0.41,1.94,1.82,0.51,0.24,0.16,,0.46,1.62
SW_120,,0.73,1.73,1.68,0.84,0.34,0.60,0.46,,1.55
sFC,,1.35,0.51,0.37,1.37,2.54,1.73,1.62,1.55,
