,null,constant,periodic_1,periodic_2,periodic_3,periodic_4,periodic_5,checkerboard,stepwise,state_transition,change_point,average
VWP_joint,,,,,,,,,,,,
SVWP_joint,0.011,0.053,0.110,0.117,0.224,0.526,0.567,0.311,0.202,0.168,0.135,0.220
DCC_joint,0.042,0.068,0.550,0.563,0.568,0.562,0.569,0.316,0.613,0.166,0.250,0.388
DCC_bivariate_loop,0.055,0.071,0.177,0.212,0.241,0.266,0.302,0.237,0.222,0.161,0.158,0.191
SW_cross_validated,0.074,0.060,0.216,0.428,0.581,0.625,0.532,0.357,0.228,0.172,0.127,0.309
SW_15,0.280,0.174,0.206,0.207,0.202,0.207,0.216,0.262,0.205,0.248,0.230,0.222
SW_30,0.195,0.134,0.145,0.154,0.159,0.162,0.196,0.207,0.166,0.192,0.160,0.170
SW_60,0.135,0.095,0.108,0.138,0.223,0.302,0.410,0.213,0.161,0.180,0.136,0.191
SW_120,0.126,0.070,0.144,0.289,0.491,0.634,0.676,0.324,0.197,0.185,0.127,0.297
sFC,0.030,0.030,0.568,0.568,0.569,0.570,0.571,0.312,0.655,0.166,0.244,0.390
