,VWP_joint,SVWP_joint,DCC_joint,DCC_bivariate_loop,SW_cross_validated,SW_15,SW_30,SW_60,SW_120,sFC
VWP_joint,-,nan,nan,nan,nan,nan,nan,nan,nan,nan
SVWP_joint,nan,-,1.,0.0000,0.0000,0.0049,0.0000,0.0000,0.2859,1.
DCC_joint,nan,-1.7661,-,0.0000,0.0000,0.0018,0.0000,0.0000,1.,1.
DCC_bivariate_loop,nan,9.8442,10.4395,-,0.0000,1.,0.3733,1.,0.0000,0.0000
SW_cross_validated,nan,-16.3474,-13.8315,-15.9125,-,0.0000,0.0000,0.0000,0.0000,0.0000
SW_15,nan,4.8217,5.3001,-2.0417,9.3615,-,0.0117,0.0304,0.0006,0.0034
SW_30,nan,13.723,14.2878,2.8616,19.7528,4.4281,-,1.,0.0000,0.0000
SW_60,nan,13.1895,13.7657,2.3382,19.3167,3.9982,-0.5469,-,0.0000,0.0000
SW_120,nan,-2.9849,-1.8074,-10.5122,7.292,-5.7927,-14.0261,-13.5293,-,0.4307
sFC,nan,-0.5441,1.4423,-10.1544,17.5954,-4.9884,-14.0836,-13.5518,2.795,-
