,VWP_joint,SVWP_joint,DCC_joint,DCC_bivariate_loop,SW_cross_validated,SW_15,SW_30,SW_60,SW_120,sFC
VWP_joint,,,,,,,,,,
SVWP_joint,,,0.6555,0.1338,0.4021,0.0000,0.0015,0.1680,0.0001,0.4530
DCC_joint,,0.6555,,0.4054,0.2929,0.0000,0.0022,0.1308,0.0012,0.9314
DCC_bivariate_loop,,0.1338,0.4054,,0.0392,0.0000,0.0003,0.0348,0.0000,0.3314
SW_cross_validated,,0.4021,0.2929,0.0392,,0.0000,0.0060,0.3513,0.0020,0.1238
SW_15,,0.0000,0.0000,0.0000,0.0000,,0.0000,0.0000,0.0000,0.0000
SW_30,,0.0015,0.0022,0.0003,0.0060,0.0000,,0.1817,0.2722,0.0005
SW_60,,0.1680,0.1308,0.0348,0.3513,0.0000,0.1817,,0.4407,0.0830
SW_120,,0.0001,0.0012,0.0000,0.0020,0.0000,0.2722,0.4407,,0.0000
sFC,,0.4530,0.9314,0.3314,0.1238,0.0000,0.0005,0.0830,0.0000,
