,VWP_joint,SVWP_joint,DCC_joint,DCC_bivariate_loop,SW_cross_validated,SW_15,SW_30,SW_60,SW_120,sFC
VWP_joint,,,,,,,,,,
SVWP_joint,,,2.21,4.40,11.93,66.38,43.67,25.22,12.50,3.23
DCC_joint,,2.21,,2.63,11.63,77.80,51.47,27.42,11.93,1.42
DCC_bivariate_loop,,4.40,2.63,,9.99,79.90,52.35,26.50,10.78,0.79
SW_cross_validated,,11.93,11.63,9.99,,54.63,30.71,13.10,4.15,9.35
SW_15,,66.38,77.80,79.90,54.63,,31.04,42.86,31.64,67.62
SW_30,,43.67,51.47,52.35,30.71,31.04,,16.99,15.16,43.40
SW_60,,25.22,27.42,26.50,13.10,42.86,16.99,,4.68,23.43
SW_120,,12.50,11.93,10.78,4.15,31.64,15.16,4.68,,10.60
sFC,,3.23,1.42,0.79,9.35,67.62,43.40,23.43,10.60,
