,VWP_joint,SVWP_joint,DCC_joint,DCC_bivariate_loop,SW_cross_validated,SW_15,SW_30,SW_60,SW_120,sFC
VWP_joint,,,,,,,,,,
SVWP_joint,,,9.16,5.55,13.46,76.85,49.00,32.39,20.02,10.08
DCC_joint,,9.16,,-5.54,9.92,195.22,118.82,77.18,19.69,3.14
DCC_bivariate_loop,,5.55,-5.54,,11.97,124.60,76.27,47.97,20.42,7.02
SW_cross_validated,,13.46,9.92,11.97,,100.64,55.66,28.77,10.19,-6.78
SW_15,,76.85,195.22,124.60,100.64,,-75.92,-134.50,-65.68,-143.61
SW_30,,49.00,118.82,76.27,55.66,-75.92,,-52.74,-30.71,-84.70
SW_60,,32.39,77.18,47.97,28.77,-134.50,-52.74,,-9.52,-50.42
SW_120,,20.02,19.69,20.42,10.19,-65.68,-30.71,-9.52,,-16.71
sFC,,10.08,3.14,7.02,-6.78,-143.61,-84.70,-50.42,-16.71,
