,VWP_joint,SVWP_joint,DCC_joint,DCC_bivariate_loop,SW_cross_validated,SW_15,SW_30,SW_60,SW_120,sFC
VWP_joint,,,,,,,,,,
SVWP_joint,,,0.1224,0.0001,0.0000,0.0000,0.0000,0.0000,0.0000,0.0047
DCC_joint,,0.1224,,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0148
DCC_bivariate_loop,,0.0001,0.0000,,0.0000,0.0000,0.0000,0.0000,0.0000,0.1114
SW_cross_validated,,0.0000,0.0000,0.0000,,0.0000,0.0000,0.0000,0.0000,0.0000
SW_15,,0.0000,0.0000,0.0000,0.0000,,0.0000,0.0000,0.0000,0.0000
SW_30,,0.0000,0.0000,0.0000,0.0000,0.0000,,0.0000,0.0000,0.0000
SW_60,,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,,0.0000,0.0000
SW_120,,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,,0.0000
sFC,,0.0047,0.0148,0.1114,0.0000,0.0000,0.0000,0.0000,0.0000,
