,VWP_joint,SVWP_joint,DCC_joint,DCC_bivariate_loop,SW_cross_validated,SW_15,SW_30,SW_60,SW_120,sFC
VWP_joint,-,nan,nan,nan,nan,nan,nan,nan,nan,nan
SVWP_joint,nan,-,0.9503,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.034
DCC_joint,nan,-2.4186,-,0.0011,0.0000,0.0000,0.0000,0.0000,0.0000,1.
DCC_bivariate_loop,nan,-7.2019,-5.5137,-,0.0000,0.0000,0.0000,0.0000,0.0000,0.8960
SW_cross_validated,nan,-25.9693,-27.3599,-22.4545,-,0.0000,0.0000,0.0000,0.0000,0.0000
SW_15,nan,-106.8751,-124.4715,-122.4102,-97.6365,-,0.0000,0.0000,0.0000,0.0000
SW_30,nan,-74.3977,-85.6811,-82.3182,-57.575,45.0897,-,0.0000,0.0000,0.0000
SW_60,nan,-51.5592,-58.2946,-54.0339,-29.5122,75.614,30.9866,-,0.0000,0.0000
SW_120,nan,-32.1546,-33.0606,-29.3757,-12.7647,55.5586,27.267,7.5798,-,0.0000
sFC,nan,-3.9478,-2.0595,2.4471,20.4529,97.229,66.2471,44.5058,27.7043,-
