,VWP_joint,SVWP_joint,DCC_joint,DCC_bivariate_loop,SW_cross_validated,SW_15,SW_30,SW_60,SW_120,sFC
VWP_joint,-,nan,nan,nan,nan,nan,nan,nan,nan,nan
SVWP_joint,nan,-,0.0689,1.,0.0000,0.0000,0.0000,0.0000,0.0000,0.0083
DCC_joint,nan,-3.6301,-,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.255
DCC_bivariate_loop,nan,0.6573,9.9125,-,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
SW_cross_validated,nan,-20.2055,-32.6965,-35.3011,-,0.0000,0.0000,0.0000,0.0405,0.0000
SW_15,nan,-68.5421,-135.6742,-123.3897,-72.4068,-,0.0000,0.0000,0.0000,0.0000
SW_30,nan,-43.1343,-72.5335,-71.0508,-33.4716,33.2154,-,0.0000,0.0000,0.0000
SW_60,nan,-25.395,-33.5944,-36.2742,-10.2124,43.3706,16.1588,-,0.6107,0.0000
SW_120,nan,-16.5214,-17.3218,-19.872,-3.8691,30.9577,13.6499,2.6307,-,0.0000
sFC,nan,-4.5822,-3.0375,-11.7653,30.4028,130.6773,69.8203,32.1769,16.5806,-
