,null,constant,periodic_1,periodic_2,periodic_3,periodic_4,periodic_5,checkerboard,stepwise,state_transition,change_point
0,177,175,177,173,103,179,179,177,163,179,179
1,179,171,173,169,169,179,179,179,179,179,179
2,179,179,139,147,175,179,179,179,177,177,177
3,175,173,179,161,175,179,177,179,179,175,177
4,179,165,155,157,105,179,179,177,177,177,177
5,179,179,161,179,171,179,179,179,179,179,179
6,179,177,157,171,149,179,175,179,171,179,179
7,177,179,179,173,179,175,179,179,179,179,171
8,157,177,177,179,155,177,177,167,179,177,179
9,175,173,177,175,171,179,179,179,179,179,179
