,VWP_joint,SVWP_joint,DCC_joint,DCC_bivariate_loop,SW_cross_validated,SW_15,SW_30,SW_60,SW_120,sFC
VWP_joint,,,,,,,,,,
SVWP_joint,,,80.64,11.53,16.45,8.95,4.84,14.89,65.48,86.94
DCC_joint,,80.64,,-35.40,0.69,-81.01,-77.41,-63.24,-24.52,4.15
DCC_bivariate_loop,,11.53,-35.40,,11.83,-5.97,-8.30,-1.28,26.89,37.13
SW_cross_validated,,16.45,0.69,11.83,,-14.41,-15.26,-12.71,-3.44,-0.35
SW_15,,8.95,-81.01,-5.97,-14.41,,-3.92,7.07,63.25,89.41
SW_30,,4.84,-77.41,-8.30,-15.26,-3.92,,10.32,61.67,84.00
SW_60,,14.89,-63.24,-1.28,-12.71,7.07,10.32,,47.96,68.87
SW_120,,65.48,-24.52,26.89,-3.44,63.25,61.67,47.96,,33.48
sFC,,86.94,4.15,37.13,-0.35,89.41,84.00,68.87,33.48,
