,VWP_joint,SVWP_joint,DCC_joint,DCC_bivariate_loop,SW_cross_validated,SW_15,SW_30,SW_60,SW_120,sFC
VWP_joint,-,nan,nan,nan,nan,nan,nan,nan,nan,nan
SVWP_joint,nan,-,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
DCC_joint,nan,-8.656,-,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,1.
DCC_bivariate_loop,nan,-16.2399,-7.3099,-,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
SW_cross_validated,nan,-30.9169,-22.868,-17.8231,-,0.0000,0.0000,0.0000,0.0000,0.0000
SW_15,nan,-153.0079,-157.8022,-178.7487,-188.2132,-,0.0000,0.0000,0.0000,0.0000
SW_30,nan,-97.0388,-95.6842,-103.4838,-99.5831,75.0664,-,0.0000,0.0000,0.0000
SW_60,nan,-59.5027,-54.4868,-54.2065,-43.7006,107.0278,40.0785,-,0.0000,0.0000
SW_120,nan,-25.9576,-21.0416,-17.7592,-10.3552,61.5562,30.0842,9.9707,-,0.0000
sFC,nan,-8.4584,0.1863,7.4894,22.9877,157.2978,95.49,54.4888,21.1302,-
