,null,constant,periodic_1,periodic_2,periodic_3,periodic_4,periodic_5,checkerboard,stepwise,state_transition,change_point,average
VWP_joint,,,,,,,,,,,,
SVWP_joint,0.028,0.028,0.036,0.042,0.076,0.202,0.007,0.023,0.029,0.013,0.010,0.045
DCC_joint,0.023,0.018,0.016,0.012,0.015,0.009,0.010,0.006,0.024,0.003,0.008,0.013
DCC_bivariate_loop,0.029,0.019,0.024,0.024,0.026,0.015,0.028,0.020,0.017,0.013,0.026,0.022
SW_cross_validated,0.026,0.024,0.031,0.060,0.132,0.007,0.011,0.009,0.018,0.009,0.017,0.031
SW_15,0.031,0.039,0.023,0.039,0.038,0.026,0.031,0.022,0.043,0.025,0.034,0.032
SW_30,0.029,0.032,0.025,0.026,0.043,0.020,0.035,0.016,0.050,0.026,0.039,0.031
SW_60,0.035,0.031,0.025,0.025,0.027,0.014,0.017,0.017,0.027,0.026,0.029,0.025
SW_120,0.060,0.038,0.016,0.030,0.015,0.007,0.008,0.011,0.013,0.029,0.030,0.023
sFC,0.023,0.016,0.003,0.002,0.004,0.005,0.004,0.004,0.003,0.006,0.002,0.007
