,VWP_joint,SVWP_joint,DCC_joint,DCC_bivariate_loop,SW_cross_validated,SW_15,SW_30,SW_60,SW_120,sFC
VWP_joint,-,nan,nan,nan,nan,nan,nan,nan,nan,nan
SVWP_joint,nan,-,0.7898,1.,1.,0.0000,0.0001,0.0202,1.,1.
DCC_joint,nan,2.508,-,1.,0.1017,0.0000,0.0000,0.0002,0.0333,1.
DCC_bivariate_loop,nan,1.1816,-1.2381,-,1.,0.0000,0.0000,0.0032,0.3208,1.
SW_cross_validated,nan,-1.0005,-3.4548,-2.1152,-,0.0000,0.0007,0.1482,1.,0.2469
SW_15,nan,-9.1362,-10.5265,-9.6221,-8.5331,-,0.0255,0.0004,0.0002,0.0000
SW_30,nan,-6.5456,-8.397,-7.2041,-5.7224,4.0773,-,0.8244,0.1891,0.0000
SW_60,nan,-4.1812,-6.2719,-5.0138,-3.2848,6.0697,2.4874,-,1.,0.0006
SW_120,nan,-2.1145,-3.9567,-2.9318,-1.3848,6.3039,3.1741,1.1646,-,0.0650
sFC,nan,2.1481,-0.2438,0.951,3.0522,10.1439,7.8875,5.798,3.6562,-
