,VWP_joint,SVWP_joint,DCC_joint,DCC_bivariate_loop,SW_cross_validated,SW_15,SW_30,SW_60,SW_120,sFC
VWP_joint,,,,,,,,,,
SVWP_joint,,,8.6924e-02,2.9571e-02,4.6481e-05,3.4532e-13,3.8403e-10,6.1618e-07,3.3917e-05,7.4037e-02
DCC_joint,,8.6924e-02,,4.3150e-01,1.0711e-03,5.1726e-13,1.2336e-09,4.7942e-06,3.1962e-04,9.3688e-01
DCC_bivariate_loop,,2.9571e-02,4.3150e-01,,1.5772e-02,5.8826e-12,2.0393e-08,4.6590e-05,1.8696e-03,4.6895e-01
SW_cross_validated,,4.6481e-05,1.0711e-03,1.5772e-02,,3.4197e-11,6.6129e-07,3.7747e-03,8.4594e-02,1.1891e-03
SW_15,,3.4532e-13,5.1726e-13,5.8826e-12,3.4197e-11,,3.7310e-06,1.0636e-07,1.1516e-07,4.9846e-13
SW_30,,3.8403e-10,1.2336e-09,2.0393e-08,6.6129e-07,3.7310e-06,,1.0590e-02,2.5785e-03,1.2299e-09
SW_60,,6.1618e-07,4.7942e-06,4.6590e-05,3.7747e-03,1.0636e-07,1.0590e-02,,3.6958e-01,5.0894e-06
SW_120,,3.3917e-05,3.1962e-04,1.8696e-03,8.4594e-02,1.1516e-07,2.5785e-03,3.6958e-01,,3.4582e-04
sFC,,7.4037e-02,9.3688e-01,4.6895e-01,1.1891e-03,4.9846e-13,1.2299e-09,5.0894e-06,3.4582e-04,
