,VWP_joint,SVWP_joint,DCC_joint,DCC_bivariate_loop,SW_cross_validated,SW_15,SW_30,SW_60,SW_120,sFC
VWP_joint,-,nan,nan,nan,nan,nan,nan,nan,nan,nan
SVWP_joint,nan,-,0.0000,1.,0.0168,0.0075,0.0000,0.0032,1.,0.0000
DCC_joint,nan,-42.8896,-,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
DCC_bivariate_loop,nan,-0.6833,51.1392,-,0.0058,0.0002,0.0000,0.0000,1.,0.0000
SW_cross_validated,nan,-4.2652,47.6144,-4.7437,-,0.0000,0.0000,0.0000,0.0002,0.0000
SW_15,nan,4.6309,49.5784,6.3643,10.1935,-,0.5774,1.,0.0002,0.0000
SW_30,nan,7.5029,56.1961,10.3159,14.6293,2.6573,-,0.1821,0.0000,0.0000
SW_60,nan,5.0217,55.2858,7.3428,11.8704,-0.1251,-3.1912,-,0.0000,0.0000
SW_120,nan,-0.1994,56.695,0.7765,6.3669,-6.4316,-11.0238,-7.7366,-,0.0000
sFC,nan,-69.9435,-12.0417,-107.7058,-102.3958,-82.9269,-102.5826,-107.131,-157.5787,-
