,VWP_joint,SVWP_joint,DCC_joint,DCC_bivariate_loop,SW_cross_validated,SW_15,SW_30,SW_60,SW_120,sFC
VWP_joint,,,,,,,,,,
SVWP_joint,,,4.07,4.69,13.84,100.70,50.49,30.09,16.05,4.04
DCC_joint,,4.07,,1.18,8.75,77.55,40.19,23.04,12.46,0.05
DCC_bivariate_loop,,4.69,1.18,,6.43,61.59,33.11,18.78,10.56,1.12
SW_cross_validated,,13.84,8.75,6.43,,64.78,30.27,13.95,5.92,8.55
SW_15,,100.70,77.55,61.59,64.78,,32.41,48.43,36.69,75.42
SW_30,,50.49,40.19,33.11,30.27,32.41,,15.79,15.83,39.36
SW_60,,30.09,23.04,18.78,13.95,48.43,15.79,,4.40,22.59
SW_120,,16.05,12.46,10.56,5.92,36.69,15.83,4.40,,12.30
sFC,,4.04,0.05,1.12,8.55,75.42,39.36,22.59,12.30,
