,VWP_joint,SVWP_joint,DCC_joint,DCC_bivariate_loop,SW_cross_validated,SW_15,SW_30,SW_60,SW_120,sFC
VWP_joint,-,nan,nan,nan,nan,nan,nan,nan,nan,nan
SVWP_joint,nan,-,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
DCC_joint,nan,-8.9174,-,0.0006,0.0000,0.0000,0.0000,0.0000,0.0000,1.
DCC_bivariate_loop,nan,-13.2144,-5.826,-,0.0000,0.0000,0.0000,0.0000,0.0000,0.0008
SW_cross_validated,nan,-25.5572,-19.609,-10.943,-,0.0000,0.0000,0.0000,0.0000,0.0000
SW_15,nan,-139.3875,-160.4162,-130.3882,-151.5423,-,0.0000,0.0000,0.0000,0.0000
SW_30,nan,-90.6666,-99.9972,-78.9564,-85.83,72.2405,-,0.0000,0.0000,0.0000
SW_60,nan,-58.6974,-60.0216,-45.4839,-42.9132,111.8046,43.0418,-,0.0000,0.0000
SW_120,nan,-25.115,-20.8466,-16.6075,-11.0917,56.6559,27.3446,8.7943,-,0.0000
sFC,nan,-8.7648,-0.0336,5.6672,18.9505,154.4995,96.3226,57.9485,20.6515,-
