,VWP_joint,SVWP_joint,DCC_joint,DCC_bivariate_loop,SW_cross_validated,SW_15,SW_30,SW_60,SW_120,sFC
VWP_joint,,,,,,,,,,
SVWP_joint,,,1.55,1.30,3.42,7.23,5.28,3.69,2.56,2.38
DCC_joint,,1.55,,0.27,6.03,9.35,7.56,5.83,4.14,1.06
DCC_bivariate_loop,,1.30,0.27,,5.58,9.02,7.19,5.48,3.90,1.28
SW_cross_validated,,3.42,6.03,5.58,,4.86,2.50,0.70,0.13,7.17
SW_15,,7.23,9.35,9.02,4.86,,2.40,3.93,4.19,10.13
SW_30,,5.28,7.56,7.19,2.50,2.40,,1.65,2.13,8.46
SW_60,,3.69,5.83,5.48,0.70,3.93,1.65,,0.67,6.73
SW_120,,2.56,4.14,3.90,0.13,4.19,2.13,0.67,,4.84
sFC,,2.38,1.06,1.28,7.17,10.13,8.46,6.73,4.84,
