,VWP_joint,SVWP_joint,DCC_joint,DCC_bivariate_loop,SW_cross_validated,SW_15,SW_30,SW_60,SW_120,sFC
VWP_joint,,,,,,,,,,
SVWP_joint,,,0.76,1.02,1.93,7.37,5.01,3.26,1.96,0.83
DCC_joint,,0.76,,0.36,1.32,7.26,4.71,2.82,1.58,0.07
DCC_bivariate_loop,,1.02,0.36,,0.84,6.29,3.93,2.31,1.32,0.30
SW_cross_validated,,1.93,1.32,0.84,,5.83,3.31,1.67,0.85,1.26
SW_15,,7.37,7.26,6.29,5.83,,2.54,3.46,2.68,7.23
SW_30,,5.01,4.71,3.93,3.31,2.54,,1.21,1.10,4.67
SW_60,,3.26,2.82,2.31,1.67,3.46,1.21,,0.26,2.78
SW_120,,1.96,1.58,1.32,0.85,2.68,1.10,0.26,,1.55
sFC,,0.83,0.07,0.30,1.26,7.23,4.67,2.78,1.55,
