,VWP_joint,SVWP_joint,DCC_joint,DCC_bivariate_loop,SW_cross_validated,SW_15,SW_30,SW_60,SW_120,sFC
VWP_joint,,,,,,,,,,
SVWP_joint,,,18.99,2.85,9.48,3.98,1.39,2.75,16.13,20.03
DCC_joint,,18.99,,-40.93,-0.19,-27.35,-29.43,-40.38,-10.36,3.26
DCC_bivariate_loop,,2.85,-40.93,,9.03,2.34,-2.13,-0.20,33.76,48.96
SW_cross_validated,,9.48,-0.19,9.03,,-8.05,-9.52,-9.08,-1.49,0.57
SW_15,,3.98,-27.35,2.34,-8.05,,-3.75,-2.49,22.03,30.65
SW_30,,1.39,-29.43,-2.13,-9.52,-3.75,,1.96,24.63,32.32
SW_60,,2.75,-40.38,-0.20,-9.08,-2.49,1.96,,33.34,47.99
SW_120,,16.13,-10.36,33.76,-1.49,22.03,24.63,33.34,,17.72
sFC,,20.03,3.26,48.96,0.57,30.65,32.32,47.99,17.72,
