,VWP_joint,SVWP_joint,DCC_joint,DCC_bivariate_loop,SW_cross_validated,SW_15,SW_30,SW_60,SW_120,sFC
VWP_joint,-,nan,nan,nan,nan,nan,nan,nan,nan,nan
SVWP_joint,nan,-,0.0006,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.001
DCC_joint,nan,-5.7928,-,0.6297,0.0000,0.0000,0.0000,0.0000,0.0000,1.
DCC_bivariate_loop,nan,-7.7067,-2.6162,-,0.0000,0.0000,0.0000,0.0000,0.0000,0.5828
SW_cross_validated,nan,-35.0937,-26.2979,-19.4698,-,0.0000,0.0000,0.0000,0.0000,0.0000
SW_15,nan,-181.146,-158.1994,-128.5874,-150.9345,-,0.0000,0.0000,0.0000,0.0000
SW_30,nan,-88.2788,-78.7589,-67.7122,-62.1469,48.1933,-,0.0000,0.0000,0.0000
SW_60,nan,-57.2219,-49.1996,-41.2634,-29.8737,83.8097,27.9621,-,0.0003,0.0000
SW_120,nan,-26.1111,-22.7071,-20.1663,-10.1612,51.7502,23.5739,6.1666,-,0.0000
sFC,nan,-5.5676,0.0876,2.6529,25.7546,153.9402,77.5458,48.4541,22.62,-
