,VWP_joint,SVWP_joint,DCC_joint,DCC_bivariate_loop,SW_cross_validated,SW_15,SW_30,SW_60,SW_120,sFC
VWP_joint,,,,,,,,,,
SVWP_joint,,,6.12,10.46,28.27,115.73,89.02,52.97,24.89,5.62
DCC_joint,,6.12,,5.89,28.47,136.35,111.48,58.92,22.79,-0.34
DCC_bivariate_loop,,10.46,5.89,,17.77,113.36,84.95,45.20,18.43,-5.94
SW_cross_validated,,28.27,28.47,17.77,,120.39,91.24,35.96,9.44,-26.98
SW_15,,115.73,136.35,113.36,120.39,,-54.54,-78.58,-50.39,-129.62
SW_30,,89.02,111.48,84.95,91.24,-54.54,,-40.07,-26.86,-103.33
SW_60,,52.97,58.92,45.20,35.96,-78.58,-40.07,,-8.05,-56.02
SW_120,,24.89,22.79,18.43,9.44,-50.39,-26.86,-8.05,,-22.61
sFC,,5.62,-0.34,-5.94,-26.98,-129.62,-103.33,-56.02,-22.61,
