,VWP_joint,SVWP_joint,DCC_joint,DCC_bivariate_loop,SW_cross_validated,SW_15,SW_30,SW_60,SW_120,sFC
VWP_joint,-,nan,nan,nan,nan,nan,nan,nan,nan,nan
SVWP_joint,nan,-,0.0000,0.2625,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
DCC_joint,nan,-10.3136,-,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,1.
DCC_bivariate_loop,nan,-3.0241,11.8737,-,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
SW_cross_validated,nan,-21.7744,-20.9238,-26.8364,-,0.0000,0.0000,0.0000,0.0928,0.0000
SW_15,nan,-80.4402,-130.0228,-116.6957,-78.0631,-,0.0000,0.0000,0.0000,0.0000
SW_30,nan,-54.1342,-89.1387,-80.6906,-42.5593,46.6635,-,0.0000,0.0000,0.0000
SW_60,nan,-32.3308,-40.1849,-43.1445,-13.1651,68.8064,30.1656,-,1.,0.0000
SW_120,nan,-15.0287,-11.2027,-14.5876,-3.4964,28.3564,12.8561,2.0221,-,0.0000
sFC,nan,-10.4381,-0.3019,-12.073,20.7055,129.5639,88.6757,39.9125,11.1317,-
