,null,constant,periodic_1,periodic_2,periodic_3,periodic_4,periodic_5,boxcar,stepwise,state_transition,change_point
0,0.875,0.962,0.977,0.968,0.847,0.885,0.860,0.859,0.916,0.898,0.761
1,0.890,1.016,0.787,0.834,0.855,0.885,0.914,0.966,0.898,0.897,0.877
2,0.884,0.897,0.952,0.666,1.126,0.758,0.839,0.824,0.904,0.862,0.858
3,0.831,0.863,0.960,1.063,0.856,1.233,0.900,0.928,1.008,0.909,0.790
4,0.857,0.979,0.840,1.010,0.904,1.051,0.952,0.802,0.927,0.844,0.901
5,0.946,0.935,0.943,0.918,0.811,1.084,0.832,0.879,0.939,0.856,0.879
6,0.928,0.890,0.955,1.034,0.990,0.779,0.857,0.820,0.850,0.978,0.870
7,0.831,1.046,0.892,0.850,0.843,0.866,0.853,0.844,0.892,0.798,0.949
8,0.933,0.908,0.899,1.009,1.045,0.848,0.850,0.861,0.824,0.949,0.888
9,0.939,0.787,0.911,0.868,0.942,0.863,1.162,0.859,1.395,0.917,0.803
