,null,constant,periodic_1,periodic_2,periodic_3,periodic_4,periodic_5,boxcar,stepwise,state_transition,change_point
0,0.436,1.085,0.464,0.234,0.162,0.172,1.520,0.188,0.264,1.611,1.306
1,1.588,2.705,0.697,0.316,0.171,0.206,0.123,0.629,0.223,1.647,0.680
2,1.627,1.861,0.674,0.203,0.237,0.117,1.430,0.163,0.365,1.476,1.067
3,1.691,1.634,0.413,0.139,0.169,1.332,0.133,0.256,0.427,0.957,1.194
4,0.935,1.254,0.697,0.260,0.131,0.204,0.326,0.230,0.317,1.735,0.768
5,1.596,2.162,0.288,0.287,0.194,0.185,1.430,0.281,0.406,1.674,0.833
6,1.188,2.071,0.635,0.278,0.166,0.168,1.160,1.012,0.236,0.388,1.501
7,0.514,2.529,0.416,0.297,0.173,0.178,0.466,0.199,0.362,1.338,0.818
8,0.745,2.090,0.628,0.193,0.126,0.155,1.154,0.326,0.337,1.934,0.902
9,1.435,2.104,0.268,0.313,0.137,0.148,1.181,1.530,0.409,1.789,1.135
