,null,constant,periodic_1,periodic_2,periodic_3,periodic_4,periodic_5,checkerboard,stepwise,state_transition,change_point
0,0.878,0.897,0.908,1.095,1.086,0.817,0.817,0.930,0.905,0.874,1.085
1,0.867,0.889,0.962,0.896,0.949,0.817,0.817,0.947,0.969,0.871,1.085
2,0.882,0.936,0.871,0.843,0.905,0.817,0.817,0.890,0.853,0.847,1.085
3,0.894,0.858,0.896,0.863,0.834,0.817,0.817,0.999,1.033,1.007,1.085
4,0.959,0.966,0.909,0.900,0.983,0.817,0.817,0.901,0.932,0.960,1.085
5,0.872,0.971,0.910,1.071,0.918,0.817,0.817,0.931,0.888,0.882,1.085
6,0.888,0.908,0.837,1.004,0.959,0.817,0.817,0.892,1.009,0.948,1.085
7,0.885,0.850,0.992,0.897,0.796,0.817,0.817,0.885,0.958,0.886,1.085
8,0.912,0.996,0.887,0.930,0.953,0.817,0.817,0.853,1.028,0.991,1.085
9,0.843,0.914,0.915,0.984,0.877,0.817,0.817,0.872,0.928,0.810,1.085
10,0.889,0.889,0.913,0.986,1.314,0.817,0.817,0.861,0.880,0.847,1.085
11,0.868,0.853,0.962,0.883,0.899,0.817,0.817,0.879,0.881,0.840,1.085
12,0.849,0.903,0.887,0.890,0.811,0.817,0.817,0.835,0.925,0.997,1.085
13,0.872,1.090,0.914,0.888,1.120,0.817,0.817,0.832,0.928,0.986,1.085
14,0.882,0.967,0.986,0.898,0.948,0.817,0.817,0.858,1.021,0.942,1.085
15,0.815,1.086,0.896,0.972,1.000,0.817,0.817,0.941,0.848,0.938,1.085
16,0.799,0.907,0.907,0.908,0.976,0.817,0.817,0.874,0.873,0.954,1.085
17,0.865,0.881,0.949,0.843,1.123,0.817,0.817,0.869,0.960,0.898,1.085
18,0.932,0.886,1.023,1.006,1.007,0.817,0.817,0.866,0.903,0.972,1.085
19,0.974,0.853,0.896,0.910,0.845,0.817,0.817,0.872,0.918,0.930,1.085
20,0.885,0.911,0.994,0.986,0.992,0.817,0.817,0.984,0.942,1.223,1.085
21,0.905,0.931,0.793,0.988,1.059,0.817,0.817,0.904,0.876,0.934,1.085
22,0.898,0.853,0.878,1.240,1.065,0.817,0.817,0.942,0.892,0.868,1.085
23,0.921,0.845,0.970,0.988,0.868,0.817,0.817,0.864,0.936,0.849,1.085
24,0.922,0.790,0.922,0.947,1.001,0.817,0.817,0.864,0.890,0.880,1.085
25,0.969,0.930,0.905,0.904,0.837,0.817,0.817,1.100,0.909,0.891,1.085
26,0.863,0.981,0.876,0.797,0.777,0.817,0.817,0.922,0.875,0.924,1.085
27,0.883,0.983,0.850,0.954,0.960,0.817,0.817,0.829,0.924,0.877,1.085
28,0.846,0.932,0.993,0.774,0.852,0.817,0.817,0.878,0.939,0.917,1.085
29,0.863,0.879,1.155,0.830,0.925,0.817,0.817,1.016,0.895,0.865,1.085
30,0.958,0.958,0.961,0.762,1.106,0.817,0.817,0.838,0.884,0.928,1.085
31,0.853,0.956,0.890,0.998,1.109,0.817,0.817,0.867,0.908,0.909,1.085
32,0.951,0.804,0.809,0.847,0.795,0.817,0.817,0.869,0.900,0.956,1.085
33,0.760,0.870,0.903,1.131,0.870,0.817,0.817,0.916,0.929,0.900,1.085
34,0.847,0.978,0.931,0.949,0.910,0.817,0.817,0.958,0.918,0.871,1.085
35,0.905,0.948,1.048,1.423,1.158,0.817,0.817,0.962,1.017,0.839,1.085
36,0.917,0.974,0.931,0.855,0.869,0.817,0.817,0.892,1.013,0.905,1.085
37,0.876,0.828,0.928,0.968,0.974,0.817,0.817,0.903,0.905,0.912,1.085
38,0.838,0.886,0.880,0.835,1.368,0.817,0.817,0.872,0.865,0.933,1.085
39,0.928,0.899,0.888,0.903,0.845,0.817,0.817,0.868,1.159,0.869,1.085
40,0.869,0.940,0.926,0.917,1.146,0.817,0.817,0.884,0.872,0.865,1.085
41,0.839,0.886,0.897,0.980,0.976,0.817,0.817,0.881,0.949,0.958,1.085
42,1.110,0.819,0.894,0.843,1.238,0.817,0.817,0.808,0.881,0.926,1.085
43,0.931,0.861,0.863,0.874,0.793,0.817,0.817,0.883,0.796,0.907,1.085
44,0.899,0.932,0.886,0.920,0.990,0.817,0.817,0.869,0.880,0.872,1.085
45,0.961,0.782,0.990,0.937,1.307,0.817,0.817,1.065,0.869,0.943,1.085
46,0.993,0.990,0.947,1.160,1.104,0.817,0.817,0.962,0.893,0.881,1.085
47,0.849,0.916,1.006,0.882,0.838,0.817,0.817,0.842,0.916,0.885,1.085
48,0.938,0.850,0.863,0.873,0.801,0.817,0.817,0.961,0.840,0.851,1.085
49,0.906,0.821,0.884,0.940,1.186,0.817,0.817,0.831,0.853,0.890,1.085
50,0.988,0.939,0.878,0.979,0.862,0.817,0.817,0.901,0.916,0.865,1.085
