,null,constant,periodic_1,periodic_2,periodic_3,checkerboard,stepwise,state_transition
0,99,99,39,21,21,95,21,97
1,93,95,41,21,25,47,49,99
2,93,29,23,29,25,21,21,45
3,99,57,37,21,21,45,21,69
4,57,97,27,31,23,31,21,75
5,81,77,25,23,21,33,31,91
6,79,87,27,21,21,25,21,39
7,75,87,49,39,25,21,21,51
8,97,73,39,35,31,37,25,49
9,55,75,21,21,21,25,25,37
10,79,97,45,21,23,33,23,33
11,79,69,37,21,21,61,27,87
12,87,69,31,23,27,23,21,97
13,33,75,27,23,25,43,21,99
14,35,97,27,25,27,51,25,79
15,97,73,47,25,21,29,43,61
16,99,99,37,27,21,37,27,61
17,83,81,53,21,29,33,25,27
18,99,53,35,25,23,31,21,97
19,83,81,29,29,27,37,21,79
20,77,99,27,25,23,39,21,97
21,95,87,35,23,25,33,27,43
22,75,95,53,39,21,33,21,97
23,77,99,47,31,21,25,33,97
24,81,95,37,27,23,23,23,41
25,81,87,41,27,25,31,21,37
26,67,91,25,21,23,29,23,81
27,29,69,31,31,25,29,25,23
28,57,85,21,25,21,21,21,95
29,91,99,25,21,25,37,23,51
30,57,83,45,23,23,33,25,89
31,79,81,45,23,25,27,21,91
32,89,91,41,25,27,29,21,91
33,71,27,27,21,23,97,31,99
34,21,81,41,25,21,45,21,93
35,63,79,25,31,27,35,25,49
36,95,57,39,25,23,21,21,75
37,61,95,29,23,29,27,23,89
38,71,77,29,27,21,45,25,99
39,67,57,37,23,23,41,21,99
40,99,41,41,29,23,31,21,77
41,63,95,41,27,23,27,21,73
42,35,73,33,23,23,49,21,99
43,33,77,21,21,23,37,23,85
44,29,95,27,21,23,21,27,21
45,77,85,31,29,21,29,47,87
46,99,97,41,23,21,23,27,91
47,71,69,37,21,27,35,21,59
48,97,31,31,23,21,33,23,73
49,53,49,33,27,21,21,43,87
50,81,55,27,21,27,45,23,47
51,37,49,23,25,29,31,21,35
52,65,79,43,23,21,21,31,23
53,77,55,55,29,21,21,21,89
54,65,67,23,21,25,31,21,31
55,29,65,25,25,25,23,23,91
56,69,49,31,33,21,33,21,39
57,93,59,29,27,21,25,21,35
58,43,95,29,23,29,41,29,81
59,91,39,33,21,21,37,25,99
60,67,99,21,43,21,37,23,77
61,69,45,31,21,23,21,21,61
62,43,83,25,25,25,37,23,79
63,43,71,29,23,21,21,21,81
64,43,63,25,35,21,21,21,95
65,61,67,21,25,21,31,21,69
66,65,77,27,23,21,37,27,83
67,85,65,35,27,23,23,23,99
68,97,77,29,27,21,39,21,63
69,69,95,39,21,27,21,21,85
70,89,49,21,27,21,23,25,25
71,35,65,21,29,25,33,33,99
72,81,37,35,21,23,29,41,77
73,87,95,41,29,31,25,21,79
74,49,81,23,31,29,37,21,71
75,93,47,33,21,29,39,23,91
76,25,91,55,21,21,23,31,99
77,73,97,61,21,25,41,23,79
78,79,99,29,35,23,45,21,99
79,83,47,47,25,21,39,29,91
80,99,87,35,23,21,23,21,27
81,51,85,21,27,21,25,23,71
82,83,89,27,31,21,25,31,25
83,87,21,23,21,21,21,25,79
84,95,99,35,25,25,27,21,57
85,67,33,45,27,27,55,25,89
86,91,77,53,21,21,47,23,99
87,97,91,37,21,23,33,21,97
88,83,97,23,25,21,21,21,49
89,91,99,29,31,21,45,35,43
90,99,91,25,21,27,27,29,59
91,99,21,39,21,23,21,21,95
92,55,89,45,21,23,23,29,93
93,25,41,33,23,21,25,37,63
94,75,37,47,27,23,49,25,29
95,93,75,39,27,21,33,27,45
96,99,93,55,21,23,27,35,61
97,91,97,35,21,21,31,25,41
98,35,43,21,25,21,35,29,99
99,99,99,39,21,27,21,21,51
100,81,45,55,25,23,41,23,71
101,99,55,65,31,25,37,27,95
102,89,59,25,21,25,37,21,29
103,89,73,29,25,21,35,25,99
104,77,29,21,29,25,51,27,27
105,57,57,29,21,21,37,21,97
106,91,91,23,21,21,25,23,49
107,67,99,25,29,21,27,37,97
108,61,95,23,23,21,35,39,23
109,37,79,33,27,21,25,33,59
110,89,99,35,21,21,27,61,31
111,63,99,29,29,21,29,43,99
112,67,89,47,33,25,27,29,97
113,99,93,33,23,21,27,29,55
114,87,99,35,31,21,39,25,71
115,93,95,29,21,21,35,21,39
116,79,67,37,23,21,57,31,97
117,95,71,25,23,23,35,27,99
118,71,47,27,21,21,35,21,99
119,57,99,41,21,25,31,29,63
120,87,97,21,21,23,39,35,77
121,55,63,27,29,21,27,21,95
122,99,99,41,21,23,31,23,99
123,69,99,35,35,21,31,21,99
124,99,43,21,25,21,21,23,95
125,27,99,39,21,21,25,21,97
126,65,87,35,23,21,43,25,31
127,95,45,49,21,21,47,21,73
128,87,43,21,27,23,37,31,79
129,81,27,21,23,21,29,21,97
130,61,89,37,27,23,21,21,87
131,89,99,51,27,23,49,21,47
132,91,89,27,33,25,25,23,89
133,59,43,31,21,21,39,29,23
134,99,99,35,27,25,39,25,79
135,79,85,31,25,21,31,21,25
136,87,75,23,23,21,33,25,87
137,43,45,41,27,23,39,29,73
138,39,89,43,29,21,33,21,91
139,41,97,25,21,21,35,21,79
140,99,81,43,21,21,33,21,99
141,53,77,45,21,23,29,41,41
142,93,95,25,25,21,25,21,93
143,95,39,33,27,21,25,33,45
144,67,43,23,23,21,35,21,71
145,99,89,27,21,21,37,23,89
146,99,25,31,33,21,21,21,85
