,null,constant,periodic_1,periodic_2,periodic_3,checkerboard,stepwise,state_transition
0,-2.79648394365248,-2.6269326929779866,-2.671587533930884,-2.643274821335057,-2.660973887181188,-2.8375667663372837,-2.5692282339721237,-2.806246122423324
1,-2.86738707559603,-2.702138693386305,-2.6398041032384914,-2.746084308236884,-2.6821404508865885,-2.8408638996088307,-2.6325937041182566,-2.828149142307767
2,-2.806264747641049,-2.590208985338629,-2.6520020311436117,-2.6179653649717567,-2.623191944399147,-2.841989739601017,-2.7154694013652687,-2.7459114849079276
3,-2.8767140780176406,-2.671667442286485,-2.8010665905783663,-2.7375357922844477,-2.835535472065863,-2.825510786923104,-2.5588752325145747,-2.7939258849524697
4,-2.9073116904164578,-2.596631563160305,-2.646816780196575,-2.712341079616823,-2.761796649674901,-2.7825517540500018,-2.666846850630088,-2.6961678889465333
5,-2.8797955498181356,-2.500591775256108,-2.567535912621321,-2.769801935751689,-2.691266712668069,-2.724942869705956,-2.6381007153976883,-2.7664252919870957
6,-2.827735220826376,-2.580921792233328,-2.6898473488025356,-2.7403882051304294,-2.6960604448413115,-2.777646088300487,-2.6427635991486307,-2.8296510152616365
7,-2.8920532374296295,-2.6743249589151854,-2.5415029741691835,-2.7178686854543344,-2.767838636348139,-2.744736586770933,-2.5070239039025917,-2.7105372115727744
8,-2.816918289069098,-2.692184091101093,-2.660027521803357,-2.6421183342448167,-2.764478573621273,-2.819582748948384,-2.535258676387404,-2.78260232196625
9,-2.8998338052362556,-2.583035718815397,-2.608862626534538,-2.7604017191709955,-2.631680822072848,-2.790091968418245,-2.582837351380464,-2.9245282844104703
10,-2.76353271915846,-2.6254251413129737,-2.623515670521562,-2.867391350500041,-2.665468657970449,-2.8297414066251774,-2.5366267534545717,-2.7233424695820645
11,-2.93045555767637,-2.6316941351842256,-2.678436802081958,-2.791797844633828,-2.774030019016251,-2.84009777837686,-2.5925893920729663,-2.8162221471235056
12,-2.8286327352146587,-2.5782872855944476,-2.6601812924238537,-2.70844990617701,-2.7471121286440177,-2.8568624240849854,-2.6240429966663097,-2.7801546372734895
13,-2.7827025300262265,-2.594815841307468,-2.66981962562679,-2.6843101048950384,-2.6862340801542355,-2.801194091053123,-2.5948384417222563,-2.8355828949209454
14,-2.952201277434215,-2.6971038510746372,-2.5909884975086355,-2.7634421842664936,-2.6680990038393952,-2.7453875378555335,-2.562365199752364,-2.7241498243101177
15,-2.881231138973031,-2.603739536627969,-2.7739264080774433,-2.597860404059048,-2.7938683341888737,-2.7352390731305474,-2.6719594231442283,-2.7604934459120316
16,-2.8429516736805467,-2.584889150527784,-2.6373355081820717,-2.6781756649399835,-2.79099624295974,-2.7276525360977417,-2.595150185842078,-2.7527556869730323
17,-2.932803225612797,-2.6076100484756557,-2.6851862537731277,-2.697888490427206,-2.7737096927911655,-2.7749487897439007,-2.6889243604804625,-2.9000091251364437
18,-2.8300472780126302,-2.5364314468178817,-2.805148860292462,-2.6522451764733033,-2.846198277436813,-2.691267817666843,-2.617151711496199,-2.7452835787262586
19,-2.788654508477348,-2.568868838385198,-2.752466993116318,-2.6527133559483222,-2.661678376434784,-2.799658623962503,-2.5979926906819966,-2.690799863939547
20,-2.864712701566167,-2.5780249593753433,-2.7943115237376706,-2.7602770470683486,-2.630715195388127,-2.777228947017974,-2.526569946526105,-2.8800385206627586
21,-2.800547888346157,-2.549385259126608,-2.6502758085681926,-2.6224095044327167,-2.7675149606829232,-2.7147404261842123,-2.677679804691253,-2.746249761172468
22,-2.8260688129130487,-2.655322769223844,-2.57209631232118,-2.6641137368920225,-2.785901679996201,-2.7531324817103204,-2.65752856053172,-2.797967267796661
23,-2.881859085338254,-2.526807525286941,-2.6409817166294816,-2.710595879543886,-2.7725702840923017,-2.769386889072051,-2.5394619409814907,-2.7770169627379744
24,-2.766837067315443,-2.7245247847576057,-2.5833131852509577,-2.6911373239390057,-2.7202466543286863,-2.9081080710103766,-2.5350956645648366,-2.7367854753661947
25,-2.7819968884902204,-2.663757456233094,-2.556690278443428,-2.7387541677858165,-2.7449375194846612,-2.81925566385725,-2.617282361095248,-2.862424477096704
26,-2.8584560658731344,-2.6102150283916257,-2.65191938858806,-2.7368546419327315,-2.662412229342581,-2.8128400559986346,-2.762063106296015,-2.742861660589504
27,-3.0013672715798156,-2.6092385071910336,-2.77734861218104,-2.7912026398883336,-2.699718600751047,-2.807713650707782,-2.589725177064869,-2.8442129709236315
28,-2.8770689231768554,-2.6371666237422913,-2.571259644910469,-2.63322706721949,-2.838490507592395,-2.768158591777968,-2.641388700844683,-2.7907906848948723
29,-2.8574459130528522,-2.666302759332241,-2.5956286408947813,-2.746031826328156,-2.768935543099114,-2.7858847338025794,-2.6770092151494884,-2.7696003867794072
30,-2.838110762415514,-2.5937083323632772,-2.757642847103385,-2.6613740098482492,-2.73272794300015,-2.7791412363380745,-2.531685673673416,-2.7150606155420487
31,-2.823153007172879,-2.6870489267786963,-2.654815019438962,-2.7837221434088395,-2.7220145389549395,-2.7518563419835864,-2.5265073394962574,-2.75893303913272
32,-2.828070247142598,-2.606326442364637,-2.7645501770267136,-2.593654324510997,-2.7307156499041843,-2.7207910230678585,-2.5326535109064885,-2.814886250131089
33,-2.864554096701608,-2.6542440963858227,-2.6420129492345494,-2.7307779372858523,-2.805900417894631,-2.896746946162381,-2.5844265469061223,-2.73220322073995
34,-2.849004528929105,-2.5826466855467625,-2.7292177207009582,-2.6645257559597315,-2.662556877244719,-2.7346478787951853,-2.604254850313927,-2.7432654120327977
35,-2.8332332720666695,-2.609092853140506,-2.6794349835054323,-2.5886545234998004,-2.644135022009763,-2.854575976024955,-2.5982934808667433,-2.8614593218582933
36,-2.8669828463029114,-2.5818509957304308,-2.65669843078462,-2.703414913877278,-2.716848244441847,-2.7940364277240985,-2.6174609112496525,-2.804367065544472
37,-2.8473820914581656,-2.5776135542450094,-2.686379568026968,-2.6830524168496277,-2.691676455083735,-2.8755624441427368,-2.569984705666412,-2.777145066144892
38,-2.8709610607626304,-2.5831424148413693,-2.762490298450491,-2.6461532335619076,-2.7792418167062602,-2.7750046850069663,-2.5148878006960946,-2.7439025227805485
39,-2.822928401573536,-2.599761977427223,-2.5863922152800596,-2.6510730519595405,-2.787751872087167,-2.81831000478781,-2.5576620990788674,-2.9046588982146373
40,-2.873453316728036,-2.6581677724677117,-2.7134312501016247,-2.6305749201726143,-2.673885562776143,-2.7993073506606128,-2.5340681766117683,-2.710169301709576
41,-2.8031245305798143,-2.5886600601824123,-2.578802459165769,-2.6428563969035412,-2.678208609645174,-2.85298015122193,-2.5911560963397755,-2.814921244483314
42,-2.95267026599632,-2.685614399703986,-2.6634504611615055,-2.8307676664449235,-2.730502517370403,-2.8167429204819374,-2.5607960880049756,-2.7717935311843256
43,-2.8612192313220617,-2.5189754726251192,-2.711823816688513,-2.624888478947426,-2.7516228612332974,-2.839222648786109,-2.5937980474945252,-2.7420478408632527
44,-2.944027154857388,-2.5206959268953546,-2.604534618722857,-2.7562262809528626,-2.7710222982505055,-2.9129286446365588,-2.657870400230762,-2.8183551355540635
45,-2.9486886063283237,-2.5772331286093606,-2.705627826182941,-2.7260790039776333,-2.7890827105154545,-2.748232077637582,-2.67362752390102,-2.847692065816964
46,-2.8276527741680537,-2.534098155549013,-2.6911108662719085,-2.7928657053447967,-2.6135504598705284,-2.8295748505903777,-2.6594980284906375,-2.780278104401617
47,-2.9181979839918415,-2.537571594334763,-2.700719854813709,-2.7291834081613864,-2.769964431610005,-2.9299421415414804,-2.6945848448459686,-2.741767382607462
48,-2.8111409576925235,-2.5445957237258825,-2.6505299093360795,-2.845804322529288,-2.726942913660525,-2.8885537116374724,-2.669717740377838,-2.747598094238071
49,-2.852168619647462,-2.521691282859378,-2.613354982366311,-2.8109935646275757,-2.8372312969655114,-2.768215733241891,-2.6112351560537905,-2.8642466778431075
50,-2.8883858748968056,-2.584974145463124,-2.6087514179941644,-2.685368172287358,-2.812126595153951,-2.7739177978305145,-2.5763298518001214,-2.6933867643227645
51,-2.8537705643925433,-2.626714403648919,-2.5793178852049543,-2.7779124743879318,-2.7739495396730787,-2.843428745889612,-2.536115642702689,-2.766911523321015
52,-2.8452950515912594,-2.7088612349304344,-2.721249855289965,-2.7027948111917355,-2.7087635278423376,-2.7665059530296277,-2.4279475987742587,-2.745845241581577
53,-2.925166431503682,-2.590519087171921,-2.640437543735459,-2.662400707046696,-2.703780106460268,-2.7289694762443766,-2.543216857743222,-2.8783090844186656
54,-2.828111706354255,-2.5753573475026337,-2.603872788044582,-2.8039239722417983,-2.6895466295880386,-2.8254143812501127,-2.667486762912765,-2.8228905095818577
55,-2.8247950769855437,-2.710325128605986,-2.7048160313685554,-2.6672769622818753,-2.702639569048279,-2.825243574566347,-2.530956618720448,-2.7319795129482163
56,-2.878436276917079,-2.565959305554886,-2.699722638655891,-2.642726154855375,-2.6981832761450186,-2.688324118123339,-2.552774827222679,-2.713627806957269
57,-2.8126688956126578,-2.584799760910019,-2.6583425580468325,-2.714910369495699,-2.765227212539645,-2.780032151300761,-2.555843636380622,-2.71077708378451
58,-2.880995236824683,-2.51440415980274,-2.667388683076285,-2.6825744320150777,-2.665783864134543,-2.8779750314117836,-2.6900885154350918,-2.853885241828816
59,-2.8721469465973395,-2.51870320554884,-2.715330198657536,-2.655113583084378,-2.7449618512593257,-2.7829518502992867,-2.5723589316368414,-2.7057852274793697
60,-2.8512342468962415,-2.5696385914794346,-2.6671114232059536,-2.811047262339031,-2.7371217187686785,-2.775630099854755,-2.7153111990855767,-2.7089262786798587
61,-2.899256208156766,-2.725122108524486,-2.670307096343079,-2.6737610027356027,-2.557495835182606,-2.8064913039861867,-2.5991214724937697,-2.8458470568997303
62,-2.8128943703170193,-2.5646320864679444,-2.760260357921394,-2.7383150168413355,-2.6434960567039227,-2.846058446907697,-2.624796697265717,-2.800592555862195
63,-2.900036827774132,-2.6228861467124522,-2.878322272071149,-2.6345643773638425,-2.778380208359756,-2.869173981628349,-2.5354299370249525,-2.7567108127971487
64,-2.818015447824257,-2.505865339454541,-2.692087654885057,-2.6870634751719753,-2.76735645794823,-2.812975574718665,-2.612370760229725,-2.8343677737565915
65,-2.8373400601274192,-2.5334441795432734,-2.637364842384005,-2.6995215367237826,-2.703243197756476,-2.781050360928798,-2.6248239544387606,-3.024083408586861
66,-2.8477457178582246,-2.5341280419071346,-2.6214162234101424,-2.6221566757364205,-2.639800770166271,-2.854150169434463,-2.5408792737646566,-2.856907650114392
67,-2.7936428899203656,-2.6309880235959624,-2.6988359539252884,-2.7216514107693346,-2.6728226299641427,-2.860977280404506,-2.614720693158812,-2.8050815265465756
68,-2.831941400693509,-2.5732806069743726,-2.656596544826053,-2.734530420243437,-2.678730700648536,-2.793293829552519,-2.5274513049172693,-2.865948375203237
69,-2.8329714378896473,-2.6082852585899676,-2.6619888701102665,-2.7514918613146717,-2.7435518813786874,-2.773157494754115,-2.7273799842185475,-2.7562615165199116
70,-2.85863137371048,-2.7419814821384803,-2.721630725719821,-2.6684484699150017,-2.676011650168872,-2.8010322357427486,-2.717705023803757,-2.813703354582953
71,-2.779162499461529,-2.5829766055443604,-2.581427597689252,-2.762741186942209,-2.7749645774213225,-2.7497092776675593,-2.7857805029854013,-2.7445079078944867
72,-2.8283621686843556,-2.5141187567045375,-2.7432510450778556,-2.7098040451696566,-2.728630259143323,-2.807687506611083,-2.5704309154636267,-2.861442770745158
73,-3.04255736343104,-2.627445049559292,-2.7867284963416346,-2.7689097889050522,-2.634749736231147,-2.719860312842083,-2.6573168641028686,-2.7456876344283114
74,-2.8899918437929757,-2.5281460251676,-2.6973975001572352,-2.7113940199663786,-2.6776711987498834,-2.7804878209313895,-2.794618499202951,-2.8698229115920504
75,-2.8258439063850913,-2.485271410720275,-2.6834104075187093,-2.7310386024735167,-2.8649240946390147,-2.7401305654845105,-2.5488065116751626,-2.7980132291239013
76,-2.9373835354958873,-2.6410208589782815,-2.686768868142177,-2.807377190778599,-2.7857162255641232,-2.724099038280745,-2.596165201787612,-2.8842616539004085
77,-2.77250560225596,-2.544238754417796,-2.5824561104075467,-2.708599298799753,-2.7431117902285984,-2.7934347041119962,-2.7229193552557724,-2.746173292762693
78,-2.8176431037553527,-2.5360193680937333,-2.6412791841369425,-2.7040546098198854,-2.8013205996281827,-2.792613860761812,-2.5281584109336985,-2.8617799846894947
79,-2.830875566694739,-2.616042036810991,-2.7534092660370333,-2.691944988634994,-2.751444401011678,-2.8131119003248624,-2.589899717187068,-2.719640065581657
80,-2.8855070634624167,-2.5345764001771105,-2.6905076637872365,-2.7527226191516956,-2.7753175665904224,-2.793382517454246,-2.645289288556484,-2.7139418529136026
81,-2.7613281746489373,-2.638533530776627,-2.7159796382028882,-2.630084456427423,-2.7290892401292086,-2.85364618437647,-2.6030860836747842,-2.7167728707505914
82,-2.8989212441605843,-2.600592121577514,-2.7478933344409153,-2.611605240559602,-2.6758950816475537,-2.7975060737101014,-2.697255550165414,-2.796109963923617
83,-2.836888488177878,-2.5027275711299684,-2.725400143695507,-2.7793924057239177,-2.9076815329763974,-2.723171635155105,-2.621320705096512,-2.7697524131794946
84,-2.7862142665998793,-2.5242932469277877,-2.556087991596813,-2.697405462329225,-2.722372782112609,-2.748172119397451,-2.7126963240034674,-2.8070902312756982
85,-2.8970594995198042,-2.6279922791007504,-2.6369798331816754,-2.636017839847741,-2.704546786261476,-2.789206977644385,-2.539431975126251,-2.914557651183195
86,-2.779487073970486,-2.5957685990312016,-2.6482353624557446,-2.720961379497364,-2.7020637089953703,-2.9570114011699773,-2.701403335375474,-2.752815329896982
87,-2.8574182163909927,-2.60125195179858,-2.699890716374374,-2.8046415373215634,-2.7778409785932565,-2.7625847780567927,-2.628143969256223,-2.7845170589446195
88,-2.874918829293873,-2.5588324308531436,-2.8419220745114613,-2.5927769658637,-2.6425917879493177,-2.8683070478024693,-2.661915863202679,-2.760533214979516
89,-2.8163282699939796,-2.6269892560124397,-2.6376239516336777,-2.683940878571443,-2.665206132447705,-2.8282736992900395,-2.7686810809294182,-2.795926675624719
90,-2.870460270203911,-2.5286613321677005,-2.6928944767951117,-2.7471817242128567,-2.818692087164061,-2.677112461387708,-2.5481442369667726,-2.8928767105030078
91,-2.8885965779706466,-2.536452564736017,-2.747761524013695,-2.774480153568108,-2.5934334112179993,-2.7087165084918468,-2.7477449597697285,-2.764686262970524
92,-2.8498762788569674,-2.568156957123538,-2.7460077960280587,-2.6546041073589,-2.648994449001385,-2.772596809791219,-2.507110249496476,-2.6968565221141683
93,-2.978288739687098,-2.5720312452095664,-2.7761064618516054,-2.6378670894541143,-2.6561876607956845,-2.6744949956225255,-2.498479649502808,-2.832649203073371
94,-2.84137516897123,-2.6390242195707447,-2.6311331934288047,-2.6290711147274393,-2.7104935790638285,-2.769532995172954,-2.666018005733158,-2.872319190542821
95,-2.8303519180934713,-2.524235668929406,-2.610776256764272,-2.6643580897942685,-2.8240799485979657,-2.7765387634696572,-2.5542340327402853,-2.8921998344473603
96,-2.774486520671204,-2.5482153685817037,-2.691758741120863,-2.6650036056658086,-2.708749701672874,-2.8579734847244174,-2.5696029181098323,-2.6821948452974573
97,-2.967132616833943,-2.55089449121179,-2.626072699264658,-2.675488231981284,-2.654665644236571,-2.754177986864612,-2.6345883552249636,-2.721800943103751
98,-2.855193023609184,-2.651624800160547,-2.690845056109903,-2.7414604709739194,-2.757098658643808,-2.7827845979075674,-2.5257135277578917,-2.763074030298677
