,null,constant,periodic_1,periodic_2,periodic_3,checkerboard,stepwise,state_transition
0,-2.8258836040763486,-2.6940796570665437,-2.693596866706516,-2.657817874222171,-2.703417954914976,-2.918235469303701,-2.6761075875564995,-2.894253777285728
1,-2.9172956247907327,-2.805004557985046,-2.6804467325457177,-2.844173079706498,-2.684485503439169,-2.9487260828465782,-2.5933045113145425,-2.890248884281846
2,-2.8682740776520985,-2.6616957788344835,-2.7220165675695203,-2.6434003880213566,-2.668716594922959,-2.8956251389314276,-2.68280223602517,-2.798214193636471
3,-2.91011055548218,-2.7365084437073834,-3.046690728672844,-2.8564570880561813,-2.82164272753013,-2.849599345280307,-2.583309721431019,-2.851553586046474
4,-2.9952688041341933,-2.67830016796265,-2.6879267438157592,-2.7193848763875836,-2.769773265598768,-2.840583001656172,-2.6768832780769567,-2.725813957777691
5,-2.983051451356058,-2.5378142189853694,-2.6806206328266278,-2.7855157754184927,-2.771729430066939,-2.755132702795475,-2.713685920896574,-2.808534637113843
6,-2.902458743461381,-2.6357776904167327,-2.722663717001195,-2.723432205378263,-2.807819526095418,-2.8373250285020957,-2.7347872707401,-2.8396067118374955
7,-2.966526986404408,-2.748452391972778,-2.5462420369451646,-2.7977187183633547,-2.7366435636162434,-2.8535189886422665,-2.506014826264361,-2.770096430562069
8,-2.86999466329994,-2.8476123844740466,-2.6797831531955376,-2.6543478489144854,-2.7710280927493227,-2.856232780047591,-2.577328050544793,-2.802614172159082
9,-3.005290793109249,-2.6083621795417726,-2.649013224172263,-3.0039084437603583,-2.6600679303727346,-2.8579323132657986,-2.5881584060260794,-2.9565895907163946
10,-2.8008772813121645,-2.659355889599317,-2.7812767213623295,-2.7946763507107084,-2.678850952896759,-2.872186588511339,-2.5890811362163277,-2.761763243389961
11,-3.0637095526704674,-2.658535587949183,-2.7193503812208184,-2.8503521232139297,-2.8632419613322737,-2.834753168790985,-2.562639114652139,-2.893401934608745
12,-3.0290380951354985,-2.6614948982717452,-2.6920532085346314,-2.6933982213443914,-2.8143126931695024,-3.0055987685168066,-2.602198828450759,-2.8531890881585156
13,-2.8219701970239868,-2.6639532126249095,-2.670609896678887,-2.7144707548372162,-2.7198832451459753,-2.844885453922331,-2.612817115410607,-2.9229923816313397
14,-2.9863690113565142,-2.8032328925632686,-2.653355330981368,-2.7830165364045967,-2.698092718563032,-2.7925781204457256,-2.574601154178575,-2.752119226068261
15,-2.9567256788693985,-2.6886737422455407,-2.897938112992409,-2.6972704819014246,-2.8900263180986574,-2.791730304080845,-2.7381191706330266,-2.84449820122446
16,-2.8499188051140907,-2.6579451790517568,-2.6639898843691,-2.7789432136303414,-2.909216871806598,-2.7980572909735235,-2.604975998469013,-2.808097091538451
17,-3.114496415284649,-2.660552406599258,-2.7391044498793042,-2.7599674517392727,-2.9297751024561665,-2.796312361719217,-2.675682884495865,-3.001846568039298
18,-2.84134499671169,-2.5741114177388345,-2.891344720568061,-2.761267700302758,-2.836431517184469,-2.6920359287055873,-2.6355594099635424,-2.772915987225173
19,-2.823278021508749,-2.6393615802818187,-2.760209403465824,-2.661368403636207,-2.7339885881287156,-2.96785393000133,-2.597784489760603,-2.762433627511405
20,-2.9362951129617443,-2.613879504476577,-2.8394744337801585,-2.733257117940048,-2.7515086345746216,-2.80829265770049,-2.5799588824448176,-2.917870160136331
21,-2.824165194504253,-2.601620963947556,-2.7255170132605233,-2.7033031768626783,-2.7553952924815324,-2.796485477857392,-2.7418386472813796,-2.770017957102385
22,-2.8420584718974435,-2.723586267668882,-2.6781890581884507,-2.6982595553536965,-2.8531493255251688,-2.840737157345211,-2.6061132161321434,-2.8217097724539464
23,-2.9470528393048983,-2.517755692432181,-2.629499268770029,-2.779225989036903,-2.8125146376783556,-2.8200702867847536,-2.540600803249116,-2.911480866529823
24,-2.809850349701763,-2.887435499794387,-2.601796427906478,-2.7463221521836543,-2.748144536591391,-2.9391144363689468,-2.524768614186223,-2.77331188888107
25,-2.8025709501319396,-2.8342930853144486,-2.5843376446642607,-2.8091247406843887,-2.843800493197906,-2.9930125489047854,-2.6429658299495395,-2.9259598880781787
