,null,constant,periodic_1,periodic_2,periodic_3,checkerboard,stepwise,state_transition
0,-2.802385130985942,-2.6226638365130652,-2.854876027897435,-2.770937226010295,-2.7759750819612146,-2.8680259515650164,-2.799045239593088,-2.8099548205399407
1,-2.864426174730661,-2.7070461084466415,-2.870121913792212,-2.8461267542164093,-2.786048449843396,-2.8460369486360775,-2.8622723149240596,-2.8249975511137655
2,-2.8034520205738738,-2.592740906336627,-2.813328336595242,-2.815673231100718,-2.753863569852783,-2.8323432103052526,-2.806220103628937,-2.751766064634006
3,-2.8679259637455026,-2.6680409813296193,-2.8909079085828564,-2.9273178423241735,-2.8930794359974095,-2.8148756163647515,-2.806914032543219,-2.792514868601878
4,-2.9043536840994153,-2.581950205705874,-2.8349237993393657,-2.8527350257934696,-2.8812915903355734,-2.8349435679356283,-2.8803400976708486,-2.6935789771231833
5,-2.8711053990149353,-2.4902055867546657,-2.8203345817343575,-2.9419618068007183,-2.803573588204711,-2.750668432359952,-2.9106386256066985,-2.7709348267483165
6,-2.8165594309828834,-2.5609276259113853,-2.823842958437542,-2.8260543193252414,-2.824196218883449,-2.781932540982949,-2.900627503077228,-2.8193090791117026
7,-2.870850356476453,-2.674054751369845,-2.7720130731146027,-2.8496804012241137,-2.851292048130249,-2.7682851515901916,-2.7811754903430153,-2.7071019302933927
8,-2.8107622357360174,-2.6953376243011213,-2.8155767653264157,-2.784959803082748,-2.874063522837481,-2.815806018828847,-2.7854290759623797,-2.7720359385531173
9,-2.8946384995183605,-2.5786157994572863,-2.7987924304912393,-2.8966352039734833,-2.7990643804760595,-2.773951152076835,-2.865994819165291,-2.896921704734013
10,-2.7678721613253994,-2.6201546432833562,-2.8379058966098514,-2.9295713240088315,-2.775868032882627,-2.8421249383363296,-2.816053382806872,-2.729296666831451
11,-2.917901093063033,-2.623613341752451,-2.830477680460192,-2.898925884930618,-2.8701922142966625,-2.8596069265568302,-2.8160184771818204,-2.808455488074668
12,-2.8140505526346704,-2.5784971138940533,-2.8907665518595693,-2.787500856203693,-2.940233621139281,-2.824523894058231,-2.8342445888822896,-2.778444975378111
13,-2.7811639275295295,-2.59888678358501,-2.8608696401536973,-2.8180807942174364,-2.867828223604098,-2.8076664039567207,-2.8483859825287525,-2.810491190590448
14,-2.933429053225788,-2.6870247208116997,-2.7677997547381374,-2.877683739666281,-2.804164011802363,-2.77455160811578,-2.860436634093521,-2.7263882607425223
15,-2.8906001707827875,-2.605409111761397,-2.9300283150007242,-2.7571836909264196,-2.882957463593616,-2.7751973169022004,-2.926967353934809,-2.7499112916164665
16,-2.8418124224813233,-2.5758379452033227,-2.8490671093192175,-2.8262142861390758,-2.859470978758984,-2.7639116600488105,-2.79950559642606,-2.7390690434438123
17,-2.9393941368364747,-2.6051810635829042,-2.900705922638657,-2.8473395525550393,-2.8757877481025873,-2.8037614642580992,-2.961751886760473,-2.8900451710575394
18,-2.83017631567314,-2.534741050098356,-2.9907030601910827,-2.8534867368585126,-2.9893921604241545,-2.7054836236341373,-2.8810448283817447,-2.7418633974565343
19,-2.790827099774105,-2.5678034323327186,-2.871627946167196,-2.86365725701232,-2.74354048986477,-2.8063642300422056,-2.8704199950572207,-2.7003162458364165
20,-2.864754101400637,-2.579295264130725,-2.9592038434783716,-2.8815330364959006,-2.7689976257600257,-2.8023779703017992,-2.7863099701441936,-2.858423577169816
21,-2.803440918542048,-2.5453484865908305,-2.779459379603984,-2.7806318566198147,-2.860134695808172,-2.7117232080648916,-2.9513121138406255,-2.7332875684095472
22,-2.825167219439769,-2.6284953061107625,-2.8177075648336154,-2.810760944614702,-2.8424269593835607,-2.7881571228886526,-2.913816038251304,-2.791572779273675
23,-2.877941261497406,-2.528671060897701,-2.760649131699337,-2.914800007730585,-2.876886294299868,-2.7685994594555576,-2.7535689744191516,-2.7756567691185627
24,-2.762021394517775,-2.704899979221657,-2.7192329854094406,-2.861972038404093,-2.8215977637075906,-2.883143382931562,-2.82423477889514,-2.7375127493868594
25,-2.7825710554650906,-2.672545146128073,-2.7351691220383305,-2.912915473310187,-2.8398353219283674,-2.8518518710636545,-2.8295579265728064,-2.865010719275565
26,-2.8482037082401064,-2.6126710847591137,-2.7832188263406574,-2.8473344491053076,-2.8499657511954037,-2.840377406178787,-2.960505446614079,-2.7211572024118493
27,-2.9555246883028383,-2.60561629690996,-2.887810470905769,-2.87588172281479,-2.8933289806110962,-2.815451483006518,-2.8422330103273272,-2.8238290857952326
28,-2.871116367214833,-2.6380845062586,-2.7833978390545018,-2.838671988330709,-2.9745338531030243,-2.773550579436225,-2.8085669422172557,-2.7895455306093853
29,-2.856811087287888,-2.652995571913833,-2.8172455379792494,-2.802416243895047,-2.9240241565160865,-2.778942510466584,-2.9295102417186984,-2.7721075614781068
30,-2.831004072887083,-2.5908337565924726,-2.904821486090983,-2.7862987254939497,-2.8520337858531075,-2.792282908594026,-2.857852877877397,-2.725127671778174
31,-2.8179198086235755,-2.6906267677496625,-2.8340079913935936,-2.90096156882736,-2.873513091916936,-2.807841901368413,-2.7661297150330366,-2.755690159237269
