,null,constant,periodic_1,periodic_2,periodic_3,checkerboard,stepwise,state_transition
0,37,95,33,21,23,25,35,55
1,99,97,43,21,25,27,21,83
2,49,39,23,21,21,35,27,25
3,97,61,31,21,21,39,65,85
4,77,97,35,21,25,37,27,85
5,93,67,29,23,21,25,21,21
6,45,59,23,23,23,37,25,27
7,99,83,33,21,21,45,25,99
8,61,97,23,23,21,33,21,33
9,67,61,25,27,21,35,27,79
10,61,63,21,27,25,25,21,77
11,71,37,23,31,21,27,25,95
12,63,33,27,21,21,41,23,93
13,91,77,33,23,21,21,21,41
14,83,75,29,21,23,27,33,59
15,99,57,21,21,21,27,35,25
16,33,69,25,21,21,37,21,41
17,79,33,25,27,21,47,35,99
18,67,95,21,21,23,43,37,73
19,95,79,37,25,23,27,31,97
20,81,89,21,23,21,31,21,93
21,91,97,21,25,27,27,35,53
22,73,77,21,21,23,35,25,99
23,25,91,25,23,23,27,39,73
24,49,99,35,31,23,39,21,33
25,39,89,21,23,23,27,31,95
26,99,21,27,21,25,43,21,97
27,49,97,35,25,21,21,21,75
28,95,83,29,23,21,31,21,69
29,99,93,29,29,21,27,21,35
30,75,57,25,21,21,21,25,99
31,45,99,21,29,21,35,21,33
32,97,63,37,21,21,21,21,59
33,97,99,25,25,21,33,29,99
34,95,93,21,23,21,25,31,21
35,69,99,21,21,23,31,23,79
36,99,97,21,31,21,23,29,67
37,91,77,31,29,21,35,25,45
38,87,63,39,23,21,29,21,77
39,91,59,35,31,21,59,35,85
40,83,69,21,21,21,47,33,99
41,37,71,29,37,21,25,35,83
42,97,91,25,21,21,21,27,89
43,93,99,21,23,21,35,21,99
44,83,79,29,21,23,31,21,95
45,47,65,31,21,21,39,21,75
46,55,73,27,25,27,35,29,43
47,51,99,23,21,21,31,21,81
48,91,21,21,23,21,35,21,95
49,27,53,21,25,25,25,35,95
50,37,25,33,21,21,25,31,25
51,37,73,21,21,21,47,27,97
52,89,63,29,25,23,37,27,57
53,99,97,25,27,21,25,21,47
54,43,89,25,29,21,43,21,89
55,61,71,23,31,21,29,21,79
56,99,65,33,25,21,33,21,53
57,53,91,23,21,21,39,21,25
58,83,73,29,21,21,39,21,65
59,95,99,21,21,21,35,29,99
60,87,83,21,29,21,31,27,33
61,99,73,35,29,23,21,21,95
62,87,87,29,25,23,43,21,95
63,89,99,29,21,21,27,21,87
64,99,77,29,25,21,27,29,81
65,65,85,27,21,21,41,23,85
66,81,63,31,27,21,33,21,33
67,95,81,27,23,21,25,31,35
68,97,81,23,27,21,29,21,85
69,99,23,21,23,21,21,31,41
70,35,93,21,21,23,31,31,81
71,29,31,25,21,21,33,37,39
72,49,21,21,27,21,21,21,99
73,55,87,21,21,21,23,21,89
74,73,53,25,23,27,27,37,73
75,81,67,21,21,23,23,21,61
76,57,89,35,25,21,23,21,95
77,33,93,27,23,21,39,21,57
78,81,65,23,23,21,33,23,87
79,77,67,29,21,21,33,35,89
80,53,99,39,23,23,27,25,95
