,VWP_joint,SVWP_joint,DCC_joint,DCC_bivariate_loop,SW_cross_validated,SW_15,SW_30,SW_60,SW_120,sFC
VWP_joint,,,,,,,,,,
SVWP_joint,,,1.04,1.10,0.24,3.83,1.91,0.52,0.23,1.64
DCC_joint,,1.04,,0.07,0.87,3.43,1.02,0.72,1.46,3.09
DCC_bivariate_loop,,1.10,0.07,,0.93,3.37,0.95,0.79,1.53,3.16
SW_cross_validated,,0.24,0.87,0.93,,4.02,1.84,0.27,0.52,2.06
SW_15,,3.83,3.43,3.37,4.02,,2.63,4.54,4.75,6.41
SW_30,,1.91,1.02,0.95,1.84,2.63,,1.88,2.50,4.19
SW_60,,0.52,0.72,0.79,0.27,4.54,1.88,,0.88,2.62
SW_120,,0.23,1.46,1.53,0.52,4.75,2.50,0.88,,1.58
sFC,,1.64,3.09,3.16,2.06,6.41,4.19,2.62,1.58,
