,VWP_joint,SVWP_joint,DCC_joint,DCC_bivariate_loop,SW_cross_validated,SW_15,SW_30,SW_60,SW_120,sFC
VWP_joint,-,nan,nan,nan,nan,nan,nan,nan,nan,nan
SVWP_joint,nan,-,0.0000,0.0000,0.5434,0.0000,0.0000,0.0000,0.8193,0.0000
DCC_joint,nan,-10.4213,-,1.,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
DCC_bivariate_loop,nan,-11.0187,-0.6943,-,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
SW_cross_validated,nan,-2.4407,8.6794,9.3406,-,0.0000,0.0000,0.2371,0.0000,0.0000
SW_15,nan,-38.3496,-34.3316,-33.7303,-40.151,-,0.0000,0.0000,0.0000,0.0000
SW_30,nan,-19.0903,-10.168,-9.4658,-18.3799,26.2622,-,0.0000,0.0000,0.0000
SW_60,nan,-5.1554,7.1568,7.933,-2.7314,45.4223,18.8275,-,0.0000,0.0000
SW_120,nan,2.2863,14.5765,15.2752,5.2397,47.5233,24.96,8.8352,-,0.0000
sFC,nan,16.3804,30.8718,31.6023,20.5822,64.0558,41.9202,26.2142,15.7902,-
