,VWP_joint,SVWP_joint,DCC_joint,DCC_bivariate_loop,SW_cross_validated,SW_15,SW_30,SW_60,SW_120,sFC
VWP_joint,,,,,,,,,,
SVWP_joint,,,1.05,1.15,0.02,1.36,0.09,0.47,0.04,4.86
DCC_joint,,1.05,,0.12,1.11,0.31,1.37,1.73,0.95,4.82
DCC_bivariate_loop,,1.15,0.12,,1.21,0.17,1.49,1.83,1.04,4.64
SW_cross_validated,,0.02,1.11,1.21,,1.43,0.07,0.46,0.06,5.06
SW_15,,1.36,0.31,0.17,1.43,,1.80,2.13,1.23,5.11
SW_30,,0.09,1.37,1.49,0.07,1.80,,0.45,0.13,6.26
SW_60,,0.47,1.73,1.83,0.46,2.13,0.45,,0.49,6.12
SW_120,,0.04,0.95,1.04,0.06,1.23,0.13,0.49,,4.49
sFC,,4.86,4.82,4.64,5.06,5.11,6.26,6.12,4.49,
