,VWP_joint,SVWP_joint,DCC_joint,DCC_bivariate_loop,SW_cross_validated,SW_15,SW_30,SW_60,SW_120,sFC
VWP_joint,,,,,,,,,,
SVWP_joint,,,-10.79,-9.99,3.50,21.44,6.53,3.54,-0.54,-18.82
DCC_joint,,-10.79,,1.83,24.76,73.20,37.50,30.92,18.03,-17.56
DCC_bivariate_loop,,-9.99,1.83,,23.55,72.44,36.22,29.55,16.72,-19.66
SW_cross_validated,,3.50,24.76,23.55,,30.78,4.79,-0.31,-6.37,-38.65
SW_15,,21.44,73.20,72.44,30.78,,-33.42,-40.10,-39.69,-92.66
SW_30,,6.53,37.50,36.22,4.79,-33.42,,-6.44,-12.49,-55.43
SW_60,,3.54,30.92,29.55,-0.31,-40.10,-6.44,,-7.21,-48.71
SW_120,,-0.54,18.03,16.72,-6.37,-39.69,-12.49,-7.21,,-32.35
sFC,,-18.82,-17.56,-19.66,-38.65,-92.66,-55.43,-48.71,-32.35,
