,VWP_joint,SVWP_joint,DCC_joint,DCC_bivariate_loop,SW_cross_validated,SW_15,SW_30,SW_60,SW_120,sFC
VWP_joint,,,,,,,,,,
SVWP_joint,,,5.5506e-24,4.0276e-21,5.1932e-04,2.3856e-68,1.9738e-10,4.5482e-04,5.9149e-01,5.6637e-57
DCC_joint,,5.5506e-24,,6.8486e-02,1.4328e-82,5.4048e-233,1.0337e-132,7.1459e-108,1.5369e-53,1.6318e-51
DCC_bivariate_loop,,4.0276e-21,6.8486e-02,,2.0270e-77,2.5729e-231,4.7804e-128,2.1893e-102,6.4003e-48,1.2143e-60
SW_cross_validated,,5.1932e-04,1.4328e-82,2.0270e-77,,2.6970e-107,2.3525e-06,7.5743e-01,5.3040e-10,8.3519e-137
SW_15,,2.3856e-68,5.4048e-233,2.5729e-231,2.6970e-107,,1.4661e-117,7.1620e-142,1.8475e-140,1.7381e-271
SW_30,,1.9738e-10,1.0337e-132,4.7804e-128,2.3525e-06,1.4661e-117,,3.4223e-10,1.9293e-30,2.9148e-189
SW_60,,4.5482e-04,7.1459e-108,2.1893e-102,7.5743e-01,7.1620e-142,3.4223e-10,,2.9063e-12,8.5035e-170
SW_120,,5.9149e-01,1.5369e-53,6.4003e-48,5.3040e-10,1.8475e-140,1.9293e-30,2.9063e-12,,1.7880e-113
sFC,,5.6637e-57,1.6318e-51,1.2143e-60,8.3519e-137,1.7381e-271,2.9148e-189,8.5035e-170,1.7880e-113,
