,VWP_joint,SVWP_joint,DCC_joint,DCC_bivariate_loop,SW_cross_validated,SW_15,SW_30,SW_60,SW_120,sFC
VWP_joint,,,,,,,,,,
SVWP_joint,,,2.9958e-13,4.2167e-11,1.7174e-02,3.2197e-79,6.2521e-08,1.7715e-05,3.3072e-01,1.7494e-41
DCC_joint,,2.9958e-13,,1.8613e-01,9.5010e-09,2.6819e-191,8.4820e-71,1.4077e-05,3.4943e-22,3.5179e-133
DCC_bivariate_loop,,4.2167e-11,1.8613e-01,,1.2235e-06,1.4953e-188,1.0758e-65,1.2043e-03,4.4632e-19,2.3097e-129
SW_cross_validated,,1.7174e-02,9.5010e-09,1.2235e-06,,1.8233e-116,1.8276e-21,3.9322e-02,1.5176e-04,6.8602e-70
SW_15,,3.2197e-79,2.6819e-191,1.4953e-188,1.8233e-116,,1.0541e-113,8.4319e-154,3.0234e-93,2.9392e-37
SW_30,,6.2521e-08,8.4820e-71,1.0758e-65,1.8276e-21,1.0541e-113,,3.8036e-40,3.3618e-07,1.9595e-45
SW_60,,1.7715e-05,1.4077e-05,1.2043e-03,3.9322e-02,8.4319e-154,3.8036e-40,,7.6497e-10,1.6269e-99
SW_120,,3.3072e-01,3.4943e-22,4.4632e-19,1.5176e-04,3.0234e-93,3.3618e-07,7.6497e-10,,1.7061e-47
sFC,,1.7494e-41,3.5179e-133,2.3097e-129,6.8602e-70,2.9392e-37,1.9595e-45,1.6269e-99,1.7061e-47,
