,null,constant,periodic_1,periodic_2,periodic_3,periodic_4,periodic_5,checkerboard,stepwise,state_transition,change_point,average
VWP_joint,,,,,,,,,,,,
SVWP_joint,0.036,0.059,0.130,0.159,0.208,,,0.243,0.156,0.149,,0.143
DCC_joint,0.058,0.055,0.169,0.210,0.235,,,0.210,0.200,0.140,,0.160
DCC_bivariate_loop,0.067,0.060,0.172,0.214,0.238,,,0.215,0.203,0.144,,0.164
SW_cross_validated,0.106,0.076,0.137,0.165,0.191,,,0.214,0.156,0.160,,0.151
SW_15,0.227,0.139,0.188,0.187,0.190,,,0.214,0.187,0.210,,0.193
SW_30,0.159,0.107,0.138,0.145,0.174,,,0.188,0.151,0.178,,0.155
SW_60,0.120,0.082,0.128,0.201,0.313,,,0.264,0.149,0.171,,0.178
SW_120,0.107,0.068,0.199,0.374,0.389,,,0.258,0.173,0.165,,0.217
sFC,0.058,0.036,0.355,0.355,0.354,,,0.250,0.406,0.141,,0.245
