,VWP_joint,SVWP_joint,DCC_joint,DCC_bivariate_loop,SW_cross_validated,SW_15,SW_30,SW_60,SW_120,sFC
VWP_joint,-,nan,nan,nan,nan,nan,nan,nan,nan,nan
SVWP_joint,nan,-,0.0000,0.0000,1.,0.0000,0.0000,0.0000,0.0000,0.0000
DCC_joint,nan,28.5197,-,1.,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
DCC_bivariate_loop,nan,26.5397,-2.1565,-,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
SW_cross_validated,nan,1.9866,-22.7146,-21.0371,-,0.0000,0.0000,0.0000,0.0000,0.0000
SW_15,nan,-15.5727,-44.9503,-42.9599,-16.0619,-,0.0000,0.0000,0.0000,0.0000
SW_30,nan,8.1832,-20.5025,-18.4699,5.2703,24.019,-,0.0000,0.0000,1.
SW_60,nan,-13.6191,-54.3219,-51.3351,-14.0901,5.5301,-24.4769,-,1.,0.0000
SW_120,nan,-9.5058,-39.2998,-37.2536,-10.5568,6.3366,-18.0259,2.106,-,0.0000
sFC,nan,9.9287,-30.9152,-27.651,5.8871,29.5336,-0.6047,37.3435,22.4733,-
