,VWP_joint,SVWP_joint,DCC_joint,DCC_bivariate_loop,SW_cross_validated,SW_15,SW_30,SW_60,SW_120,sFC
VWP_joint,,,,,,,,,,
SVWP_joint,,,1.25,1.11,3.07,6.55,4.34,3.14,2.85,2.34
DCC_joint,,1.25,,0.19,5.45,9.55,6.90,5.75,4.89,1.61
DCC_bivariate_loop,,1.11,0.19,,5.26,9.36,6.71,5.54,4.73,1.81
SW_cross_validated,,3.07,5.45,5.26,,4.02,1.52,0.05,0.05,7.08
SW_15,,6.55,9.55,9.36,4.02,,2.45,4.22,3.82,11.22
SW_30,,4.34,6.90,6.71,1.52,2.45,,1.63,1.47,8.49
SW_60,,3.14,5.75,5.54,0.05,4.22,1.63,,0.01,7.56
SW_120,,2.85,4.89,4.73,0.05,3.82,1.47,0.01,,6.28
sFC,,2.34,1.61,1.81,7.08,11.22,8.49,7.56,6.28,
