,VWP_joint,SVWP_joint,DCC_joint,DCC_bivariate_loop,SW_cross_validated,SW_15,SW_30,SW_60,SW_120,sFC
VWP_joint,-,nan,nan,nan,nan,nan,nan,nan,nan,nan
SVWP_joint,nan,-,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
DCC_joint,nan,12.4595,-,1.,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
DCC_bivariate_loop,nan,11.082,-1.9068,-,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
SW_cross_validated,nan,-30.7068,-54.5358,-52.6312,-,0.0000,0.0000,1.,1.,0.0000
SW_15,nan,-65.5211,-95.4936,-93.5525,-40.1964,-,0.0000,0.0000,0.0000,0.0000
SW_30,nan,-43.4215,-68.9923,-67.1243,-15.2273,24.4548,-,0.0000,0.0000,0.0000
SW_60,nan,-31.4155,-57.5091,-55.4321,0.4517,42.1769,16.2879,-,1.,0.0000
SW_120,nan,-28.4913,-48.9299,-47.2652,0.512,38.239,14.7465,0.114,-,0.0000
sFC,nan,23.4133,16.1387,18.052,70.7828,112.1737,84.8932,75.5673,62.7637,-
